Rebecca Hwa
Sherif Khattab
Alexandros Labrinidis
Adam Lee
Stephen Lee
Rob Rutenbar
Amani Altarawneh
James Bieman
Nathaniel Blanchard
Megan Brice
Abhimanyu Chawla
Joe Gersch
Sudipto Ghosh
Michael Kirby
Nikhil Krishnaswamy
Ross McConnell
Marcia Moraes
Francisco Ortega
Shrideep Pallickara
Craig Partridge
Sudeep Pasricha
Jean Peccoud
Sanjay Rajopadhye
Indrajit Ray
Indrakshi Ray
Heidi Runge
Benjamin Say
Phil Sharp
Tran Winick
Ron Alterovitz
Stephen Aylward
Mohit Bansal
Tamara L. Berg
David Cowhig
Jackson Cox
David Gotz
Adrian Ilie
Stephanie Johnson
Tessa Joseph-Nicholas
Jasleen Kaur
Ashok Krishnamurthy
Erin Lane
Ming C. Lin
Steve Marron
Ketan Mayer-Patel
Crystal McCall
Leonard McMillan
Fabian Monrose
Brent Munsell
David Musick
Marc Niethammer
Beatriz Paniagua
Stephen M. Pizer
Donald Porter
Cynthia Ramos
Mike Reed
Jorge Silva
Mark Snyder
Natalie Stanley
Cynthia Sturton
Martin Styner
Guorong Wu
Pew-Thian Yap
Jan-Michael Frahm
Hao Chen
Prem Devanbu
David Doty
Abbas Attarwala
Vahid Azadeh-Ranjbar
Sarah Adel Bargal
Margrit Betke
Ran Canetti
Manos Athanassoulis
Sherief El-Sheikh
Marco Gaboardi
Sharon Goldberg
Vasiliki Kalavri
John Liagouris
Abraham Matta
Sofya Raskhodnikova
Bryan Plummer
Stan Sclaroff
Evimaria Terzi
Emily Whiting
Jonathan Huggins
Vijaya Kolachalama
Brian Kulis
Gianluca Stringhini
Georgios Zervas
Hasan Aljabbouli
Craig Kapp
Joan Bruna
Kyunghyun Cho
Joshua Clayton
Ernest Davis
Rob Fergus
Allan Gottlieb
Zvi Kedem
Julia Kempe
Yann LeCun
Mehryar Mohri
Daniel Neill
Michael Overton
Lerrel Pinto
Joseph Versoza
Michael Walfish
Thomas Wies
Hunter Albright
Ken Anderson
Jed Brown
Bor-Yuh Evan Chang
Aaron Clauset
Rachel Cox
Ellen Yi-Luen Do
Ioana Fleming
Joshua Grochow
Dirk Grunwald
Danna Gurari
Sangtae Ha
Aaron Hansen
Christoffer Heckman
Geena Kim
David Knox
Ryan Layer
Gowtham Kaki
James Martin
Dan Massey
Claire Monteleoni
Bruce Montgomery
Sreesha Nath
Kristy Peterson
David Reed
Alessandro Roncone
Sriram Sankaranarayanan
Bobby Schnabel
Thomas Schwengler
Ben Shapiro
Tamara Sumner
Henry Tufo
Tom Yeh
Maciej Zagrodzki
Majid Zamani
Jed Brubaker
Robin Dowell
Claire Bennett
Michael Collier
Evan Feldman
Joy Knutsen
Tammy Lane
Jessica Lee
Chantel Lehl
Vanessa Luna
Lindsey Morford
Amy Richards
Carrie Sadler
Rajshree Shrestha
Haley Todacheene
Beth Webb
Adam Zheng
David Hall
Thomas Hauser
Caleb Phillips
Arielle Carr
Brian D. Davison
Brian Y. Chen
Mooi Choo Chuah
Orit Peleg
Hank (Henry) Korth
Stephen Lee-Urban
Daniel P. Lopresti
Corey Montella
Roberto Palmieri
Michael F. Spear
George Witmer
Boady, Mark
Breen, David E.
Burlick, Matthew
Cai, Yuanfang
Chatterjee, Preetha
Khosroshahi, Ehsan B.
Mainland, Geoffrey
Mancoridis, Spiros
Osmanlioglu, Yusuf
Pirmann, Tammy
Popyack, Jeffrey
Salvage, Jeffrey
Shokoufandeh, Ali
Remco Chang
J.P. de Ruiter
Soha Hassoun
Raja Sambasivan
Mark Sheldon
Jivko Sinapov
Diane Souvaine
Daniel Votipka
Partha Biswas
Lisa Diorio
Fabrizio Santini
Jitendra Singh
Ethan Danahy
Josephine Wolff
Amy Apon
Julian Brinkley
David Donar
Svetlana Drachova
Alexander Herzog
Sophie Joerg
Eileen Kraemer
Chris Plaue
Andrew Robb
Mark Smotherman
Jacob Sorber
Pradip Srimani
Yu-Shan (Sami) Sun
Nicolas Widman
Victor Zordan
Roghayeh (Leila) Barmaki
Sunita Chandrasekaran
Xing Gao
Jeremy Keffer
Vista, Dimitra
Lena Mashayekhy
Xi Peng
Christopher Rasmussen
Ilya Safro
Adarsh Sethi
Vijay Shanker
Cathy Wu
Rui Zhang
Sarah Abraham
Joydeep Biswas
Siddhartha Chatterjee
Shuchi Chawla
Vijay Chidambaram
Alan Cline
Shirley Cohen
William Cook
Fares Fraij
Justin Hart
Oliver Jensen
Devdatta Kulkarni
Margaret Myers
Amy Pavel
Tina Peterson
Bill Press
Eric Price
Calvin Smith
Paul Toprac
Cem Tutum
David Wu
William Young
Yuke Zhu
Constantine Caramanis
Alexandros Dimakis
Joydeep Ghosh
Matthew Lease
J. Tinsley Oden
David Zhigang Pan
Andrew Whinston
Yolanda Anderson
Wolfgang Banzhaf
Vishnu Boddeti
Zhichao Cao
Bin Chen
Betty Cheng
