school,ranking,indegree,outdegree,in_to_out_ratio
"Cranfield University",577,0.00,0.00,0.00
"Clarkson University",578,0.00,0.00,0.00
"Ulrich von Hutten",579,0.00,0.00,0.00
"Queen's University",580,0.00,0.00,0.00
"University of Liège",581,0.00,0.00,0.00
"College of Engineering, Pune",582,0.00,0.00,0.00
"Slovak University of Technology in Bratislava",583,0.00,0.00,0.00
"Wright State University",584,0.00,1.00,0.00
"Netaji Subhas University of Technology",585,0.00,0.00,0.00
"University of Pretoria",586,0.00,0.00,0.00
"Utah State University",587,0.00,0.00,0.00
"Gjøvik University College",588,0.00,0.00,0.00
"Amador Valley High School",589,0.00,0.00,0.00
"TU Dresden",590,0.00,0.00,0.00
"University of Leeds",591,0.00,0.00,0.00
"University of Ljubljana",592,0.00,0.00,0.00
"St. Peter's College, Agra",593,0.00,0.00,0.00
"Bauhaus University, Weimar",594,0.00,0.00,0.00
"Western University",595,0.00,1.00,0.00
"Northeastern State University",596,0.00,0.00,0.00
"Bangladesh University of Engineering and Technology",597,0.00,1.00,0.00
"Sungkyunkwan University",598,0.00,4.00,0.00
"Fu Foundation School of Engineering and Applied Science",599,0.00,0.00,0.00
"College of Staten Island",600,0.00,0.00,0.00
"Staples High School",601,0.00,0.00,0.00
"Ridgewood High School (New Jersey)",602,0.00,0.00,0.00
"Charles University",603,0.00,0.00,0.00
"Peter the Great St. Petersburg Polytechnic University",604,0.00,0.00,0.00
"Junior college",605,0.00,0.00,0.00
"Veermata Jijabai Technological Institute",606,0.00,0.00,0.00
"Sonoma State University",607,0.00,0.00,0.00
"Indian Institute of Technology (Indian School of Mines), Dhanbad",608,0.00,0.00,0.00
"Olympic College",609,0.00,1.00,0.00
"Tianjin University",610,0.00,0.00,0.00
"Queensland University of Technology",611,0.00,0.00,0.00
"University of the Witwatersrand",612,0.00,0.00,0.00
"Central China Normal University",613,0.00,0.00,0.00
"San Joaquin Delta College",614,0.00,0.00,0.00
"Hangzhou Foreign Languages School",615,0.00,0.00,0.00
"Johnson C. Smith University",616,0.00,0.00,0.00
"University of Toledo",617,0.00,0.00,0.00
"University of Belgrade",618,0.00,0.00,0.00
"Albany State University",619,0.00,0.00,0.00
"University of Vienna",620,0.00,0.00,0.00
"University of Tübingen",621,0.00,0.00,0.00
"University of Zurich",622,0.00,0.00,0.00
"University of Regina",623,0.00,0.00,0.00
"Emmaus High School",624,0.00,0.00,0.00
"St. George's University",625,0.00,0.00,0.00
"University of Michigan College of Engineering",626,0.00,0.00,0.00
"Lincoln-Sudbury Regional High School",627,0.00,0.00,0.00
"Belmont High School (Massachusetts)",628,0.00,0.00,0.00
"University of Mainz",629,0.00,0.00,0.00
"Punjab Engineering College",630,0.00,0.00,0.00
"Catholic University of Córdoba",631,0.00,0.00,0.00
"Konkuk University",632,0.00,0.00,0.00
"Choate Rosemary Hall",633,0.00,0.00,0.00
"National Institute of Technology, Warangal",634,0.00,0.00,0.00
"Tennessee Technological University",635,0.00,1.00,0.00
"Budapest University of Technology and Economics",636,0.00,0.00,0.00
"Siena College",637,0.00,0.00,0.00
"Alliance University",638,0.00,0.00,0.00
"Florida A&M University",639,0.00,0.00,0.00
"Moscow Institute of Physics and Technology",640,0.00,0.00,0.00
"MIT World Peace University",641,0.00,0.00,0.00
"Government College of Engineering & Textile Technology Serampore",642,0.00,0.00,0.00
"United States Naval Academy",643,0.00,3.00,0.00
"Truman State University",644,0.00,0.00,0.00
"Shattuck-Saint Mary's",645,0.00,0.00,0.00
"Carleton College",646,0.00,0.00,0.00
"Luther College (Iowa)",647,0.00,0.00,0.00
"Trinity University (Texas)",648,0.00,1.00,0.00
"Birla High School",649,0.00,0.00,0.00
"University of Moratuwa",650,0.00,1.00,0.00
"National University of Computer and Emerging Sciences",651,0.00,1.00,0.00
"Berklee College of Music",652,0.00,1.00,0.00
"University of Sussex",653,0.00,0.00,0.00
"Fordham University",654,0.00,2.00,0.00
"University of Navarra",655,0.00,0.00,0.00
"Aurora University",656,0.00,0.00,0.00
"University of Nottingham",657,0.00,0.00,0.00
"University of Stuttgart",658,0.00,1.00,0.00
"Humboldt University of Berlin",659,0.00,0.00,0.00
"University of Calicut",660,0.00,0.00,0.00
"Banaras Hindu University",661,0.00,0.00,0.00
"RMIT University",662,0.00,0.00,0.00
"Chaparral High School (Arizona)",663,0.00,0.00,0.00
"Haldia Institute of Technology",664,0.00,0.00,0.00
"Grove City College",665,0.00,0.00,0.00
"Union University",666,0.00,0.00,0.00
"University of São Paulo",667,0.00,0.00,0.00
"State University of New York at Plattsburgh",668,0.00,0.00,0.00
"Baruch College",669,0.00,0.00,0.00
"DePauw University",670,0.00,0.00,0.00
"Lawrence University",671,0.00,0.00,0.00
"China Medical University",672,0.00,0.00,0.00
"Amirkabir University of Technology",673,0.00,0.00,0.00
"Reed College",674,0.00,1.00,0.00
"Bloomsburg University of Pennsylvania",675,0.00,0.00,0.00
"Palo Alto High School",676,0.00,0.00,0.00
"Federal University of Minas Gerais",677,0.00,0.00,0.00
"Pontifical Catholic University of Rio de Janeiro",678,0.00,0.00,0.00
"Ohio Wesleyan University",679,0.00,0.00,0.00
"Ithaca College",680,0.00,0.00,0.00
"University of Sydney",681,0.00,0.00,0.00
"King's College London",682,0.00,0.00,0.00
"Cardinal Newman High School (West Palm Beach, Florida)",683,0.00,0.00,0.00
"Baltimore Polytechnic Institute",684,0.00,0.00,0.00
"Pritzker School of Medicine",685,0.00,0.00,0.00
"Albert Einstein College of Medicine",686,0.00,0.00,0.00
"University of Hanover",687,0.00,0.00,0.00
"University of Buenos Aires",688,0.00,0.00,0.00
"Ain Shams University",689,0.00,0.00,0.00
"College of Engineering, Guindy",690,0.00,0.00,0.00
"Minnesota State University, Mankato",691,0.00,0.00,0.00
"Bemidji State University",692,0.00,0.00,0.00
"University of Tokyo",693,0.00,0.00,0.00
"Jilin University",694,0.00,0.00,0.00
"West Springfield High School (Virginia)",695,0.00,0.00,0.00
"Lawrenceville School",696,0.00,0.00,0.00
"Beijing University of Technology",697,0.00,0.00,0.00
"West Virginia Wesleyan College",698,0.00,0.00,0.00
"Saint Mary's College of California",699,0.00,0.00,0.00
"Ball State University",700,0.00,0.00,0.00
"Maulana Abul Kalam Azad University of Technology",701,0.00,0.00,0.00
"St. Olaf College",702,0.00,0.00,0.00
"St. Thomas' College of Engineering and Technology",703,0.00,0.00,0.00
"University of Calcutta",704,0.00,0.00,0.00
"Community College of the Air Force",705,0.00,0.00,0.00
"Monash University",706,0.00,0.00,0.00
"Cyprus College",707,0.00,0.00,0.00
"Saint Mary's University of Minnesota",708,0.00,1.00,0.00
"University of Minnesota Duluth",709,0.00,0.00,0.00
"Southeast Community College",710,0.00,0.00,0.00
"Abertay University",711,0.00,0.00,0.00
"University of Otago",712,0.00,0.00,0.00
"Goucher College",713,0.00,0.00,0.00
"LNM Institute of Information Technology",714,0.00,0.00,0.00
"Korea University",715,0.00,2.00,0.00
"California State University, Chico",716,0.00,0.00,0.00
"Northwestern Polytechnical University",717,0.00,0.00,0.00
"Bucknell University",718,0.00,0.00,0.00
"University of Haifa",719,0.00,1.00,0.00
"University of Mumbai",720,0.00,0.00,0.00
"Denison University",721,0.00,2.00,0.00
"Kwangwoon University",722,0.00,0.00,0.00
"Ohio University",723,0.00,2.00,0.00
"American International University-Bangladesh",724,0.00,0.00,0.00
"Renmin University of China",725,0.00,0.00,0.00
"Universidad Ricardo Palma",726,0.00,1.00,0.00
"Indonesia Open University",727,0.00,0.00,0.00
"Ege University",728,0.00,0.00,0.00
"Winona State University",729,0.00,1.00,0.00
"Babeș-Bolyai University",730,0.00,1.00,0.00
"University of Central Oklahoma",731,0.00,0.00,0.00
"Valdosta State University",732,0.00,1.00,0.00
"Technical University of Cluj-Napoca",733,0.00,0.00,0.00
"University of Valencia",734,0.00,0.00,0.00
"St. Stephen's College, Delhi",735,0.00,0.00,0.00
"Hanover College",736,0.00,1.00,0.00
"University of Northern Colorado",737,0.00,1.00,0.00
"Vellore Institute of Technology",738,0.00,0.00,0.00
"Pontifical Catholic University of Rio Grande do Sul",739,0.00,1.00,0.00
"Lycée privé Sainte-Geneviève",740,0.00,0.00,0.00
"AgroParisTech",741,0.00,0.00,0.00
"IIEST, Shibpur",742,0.00,0.00,0.00
"Bowdoin College",743,0.00,0.00,0.00
"Bucharest Academy of Economic Studies",744,0.00,0.00,0.00
"National Institute of Technology, Raipur",745,0.00,0.00,0.00
"Northern State University",746,0.00,0.00,0.00
"Barry University",747,0.00,0.00,0.00
"Hendrix College",748,0.00,0.00,0.00
"Dickinson College",749,0.00,1.00,0.00
"University of Lübeck",750,0.00,0.00,0.00
"The American University in Cairo",751,0.00,1.00,0.00
"University of Milano-Bicocca",752,0.00,0.00,0.00
"Al-Baath University",753,0.00,0.00,0.00
"Télécom Paris",754,0.00,1.00,0.00
"ESIEE Paris",755,0.00,0.00,0.00
"University of Alaska Fairbanks",756,0.00,1.00,0.00
"Haverford College",757,0.00,0.00,0.00
"National Cheng Kung University",758,0.00,0.00,0.00
"Park University",759,0.00,1.00,0.00
"University of Tampa",760,0.00,0.00,0.00
"Lycoming College",761,0.00,0.00,0.00
"Brunswick School",762,0.00,0.00,0.00
"United States Military Academy",763,0.00,0.00,0.00
"University of Alaska Anchorage",764,0.00,0.00,0.00
"Acadia University",765,0.00,0.00,0.00
"TOBB University of Economics and Technology",766,0.00,1.00,0.00
"Delaware Valley University",767,0.00,0.00,0.00
"Bournemouth University",768,0.00,0.00,0.00
"South Dakota State University",769,0.00,0.00,0.00
"University of Mannheim",770,0.00,1.00,0.00
"Trinity College Dublin",771,0.00,1.00,0.00
"New York University Tandon School of Engineering",772,0.00,0.00,0.00
"Middle Tennessee State University",773,0.00,0.00,0.00
"Anna University",774,0.00,0.00,0.00
"Kutztown University of Pennsylvania",775,0.00,0.00,0.00
"Wellesley College",776,0.00,1.00,0.00
"Dalhousie University",777,0.00,0.00,0.00
"Tuskegee University",778,0.00,0.00,0.00
"Ludwig Maximilian University of Munich",779,0.00,0.00,0.00
"University of New Orleans",780,0.00,2.00,0.00
"University of Wisconsin–Green Bay",781,0.00,0.00,0.00
"Amherst College",782,0.00,0.00,0.00
"Iran University of Science and Technology",783,0.00,0.00,0.00
"Notre Dame Academy (Worcester, Massachusetts)",784,0.00,0.00,0.00
"Wartburg College",785,0.00,0.00,0.00
"Point Loma Nazarene University",786,0.00,0.00,0.00
"Sogang University",787,0.00,0.00,0.00
"École nationale de l'aviation civile",788,0.00,0.00,0.00
"Anne Arundel Community College",789,0.00,0.00,0.00
"Graz University of Technology",790,0.00,1.00,0.00
"University of Bridgeport",791,0.00,1.00,0.00
"École Supérieure de Chimie Physique Électronique de Lyon",792,0.00,0.00,0.00
"Institut national des sciences appliquées de Lyon",793,0.00,0.00,0.00
"Lund University",794,0.00,0.00,0.00
"Paris-Saclay University",795,0.00,0.00,0.00
"New Jersey Institute of Technology",796,0.00,2.00,0.00
"Visvesvaraya Technological University",797,0.00,0.00,0.00
"University of Novi Sad",798,0.00,0.00,0.00
"Montclair State University",799,0.00,0.00,0.00
"University of Engineering and Technology, Lahore",800,0.00,0.00,0.00
"University of Tabriz",801,0.00,0.00,0.00
"Kharazmi University",802,0.00,0.00,0.00
"Islamic Azad University, Najafabad Branch",803,0.00,0.00,0.00
"Fluminense Federal University",804,0.00,1.00,0.00
"Trinity College (Connecticut)",805,0.00,0.00,0.00
"Holyoke Community College",806,0.00,0.00,0.00
"New Fairfield High School",807,0.00,0.00,0.00
"University of Copenhagen",808,0.00,1.00,0.00
"Lahore University of Management Sciences",809,0.00,0.00,0.00
"Concord University",810,0.00,0.00,0.00
"Morehead State University",811,0.00,1.00,0.00
"Kettering University",812,0.00,2.00,0.00
"Kalinga Institute of Industrial Technology",813,0.00,1.00,0.00
"University of Canterbury",814,0.00,0.00,0.00
"Winthrop University",815,0.00,0.00,0.00
"University of Detroit Mercy",816,0.00,0.00,0.00
"Yonsei University",817,0.00,3.00,0.00
"University of Dar es Salaam",818,0.00,0.00,0.00
"Lafayette College",819,0.00,0.00,0.00
"National University of Sciences & Technology",820,0.00,0.00,0.00
"Christopher Newport University",821,0.00,0.00,0.00
"New England School of Photography",822,0.00,0.00,0.00
"Paris Nanterre University",823,0.00,0.00,0.00
"Igor Sikorsky Kyiv Polytechnic Institute",824,0.00,1.00,0.00
"Thiagarajar College of Engineering",825,0.00,0.00,0.00
"National Institute of Technology, Rourkela",826,0.00,0.00,0.00
"Erasmus University Rotterdam",827,0.00,0.00,0.00
"Shiraz University",828,0.00,0.00,0.00
"National Autonomous University of Mexico",829,0.00,0.00,0.00
"Shanghai University",830,0.00,0.00,0.00
"Loyola University Chicago",831,0.00,0.00,0.00
"Shepherd University",832,0.00,0.00,0.00
"University of Puget Sound",833,0.00,1.00,0.00
"Angelo State University",834,0.00,0.00,0.00
"Fordson High School",835,0.00,0.00,0.00
"Henry Ford College",836,0.00,0.00,0.00
"Elon University",837,0.00,0.00,0.00
"Süleyman Demirel University",838,0.00,0.00,0.00
"University of Glasgow",839,0.00,1.00,0.00
"Jaypee Institute of Information Technology",840,0.00,0.00,0.00
"University of Michigan–Flint",841,0.00,0.00,0.00
"York University",842,0.00,0.00,0.00
"Bowie State University",843,0.00,0.00,0.00
"Başkent University",844,0.00,0.00,0.00
"Tamaulipas Institute of Higher Education",845,0.00,0.00,0.00
"Gheorghe Asachi Technical University of Iași",846,0.00,0.00,0.00
"Heidelberg University",847,0.00,0.00,0.00
"National Chengchi University",848,0.00,0.00,0.00
"Addis Ababa University",849,0.00,0.00,0.00
"College of the Holy Cross",850,0.00,1.00,0.00
"University of Evansville",851,0.00,0.00,0.00
"State University of New York at Fredonia",852,0.00,0.00,0.00
"Memorial University of Newfoundland",853,0.00,1.00,0.00
"University of North Florida",854,0.00,0.00,0.00
"Comenius University",855,0.00,0.00,0.00
"Saint Anselm College",856,0.00,0.00,0.00
"Emporia State University",857,0.00,0.00,0.00
"University of Northern Iowa",858,0.00,0.00,0.00
"Chittagong University of Engineering & Technology",859,0.00,0.00,0.00
"University of Southern Mississippi",860,0.00,0.00,0.00
"California State University, Sacramento",861,0.00,0.00,0.00
"The Art Institutes",862,0.00,0.00,0.00
"Antioch University",863,0.00,0.00,0.00
"Daniel Boone Area High School",864,0.00,0.00,0.00
"Imam Mohammad Ibn Saud Islamic University",865,0.00,0.00,0.00
"Hacettepe University",866,0.00,0.00,0.00
"Manhattan College",867,0.00,1.00,0.00
"University of Montpellier",868,0.00,0.00,0.00
"UCLA Extension",869,0.00,0.00,0.00
"General Assembly (school)",870,0.00,0.00,0.00
"San Diego State University",871,0.00,1.00,0.00
"California State University, Los Angeles",872,0.00,0.00,0.00
"Jawaharlal Nehru Technological University, Hyderabad",873,0.00,0.00,0.00
"Western Kentucky University",874,0.00,0.00,0.00
"University of Porto",875,0.00,1.00,0.00
"Wuhan University of Technology",876,0.00,0.00,0.00
"Francis Marion University",877,0.00,0.00,0.00
"National Institute of Technology, Kurukshetra",878,0.00,0.00,0.00
"University of Texas Southwestern Medical Center",879,0.00,0.00,0.00
"Nanjing University of Posts and Telecommunications",880,0.00,0.00,0.00
"Randolph–Macon College",881,0.00,0.00,0.00
"Chulalongkorn University",882,0.00,0.00,0.00
"American University of the Middle East",883,0.00,0.00,0.00
"Lake Forest College",884,0.00,1.00,0.00
"Argosy University",885,0.00,1.00,0.00
"University",886,0.00,16.00,0.00
"University of the Amazon",887,0.00,4.00,0.00
"Rochester Institute of Technology",888,0.00,3.00,0.00
"National Aviation University",889,0.00,0.00,0.00
"Oregon Health & Science University",890,0.00,0.00,0.00
"University of California",891,0.00,1.00,0.00
"Bentley University",892,0.00,0.00,0.00
"University of the Pacific (United States)",893,0.00,0.00,0.00
"Vassar College",894,0.00,0.00,0.00
"Leiden University",895,0.00,0.00,0.00
"Chuo University",896,0.00,1.00,0.00
"Northern Virginia Community College",897,0.00,1.00,0.00
"Naval Postgraduate School",898,0.00,0.00,0.00
"Georgia Southern University",899,0.00,1.00,0.00
"Fairfield University",900,0.00,2.00,0.00
"Montana State University",901,0.00,0.00,0.00
"List of state and territorial universities in the United States",902,0.00,0.00,0.00
"International university",903,0.00,4.00,0.00
"Universidad Nacional del Sur",904,0.00,0.00,0.00
"Muskingum University",905,0.00,1.00,0.00
"Alexandru Ioan Cuza University",906,0.00,0.00,0.00
"Bennington College",907,0.00,0.00,0.00
"Northwestern Health Sciences University",908,0.00,0.00,0.00
"Kennesaw State University",909,0.00,0.00,0.00
"Toyota Technological Institute",910,0.00,0.00,0.00
"Manhattan Christian College",911,0.00,0.00,0.00
"Hokkaido University",912,0.00,0.00,0.00
"Himachal Pradesh University",913,0.00,0.00,0.00
"Holy Names University",914,0.00,0.00,0.00
"University of Massachusetts Lowell",915,0.00,1.00,0.00
"University of Bristol",916,0.00,1.00,0.00
"Ismail Qemali University of Vlorë",917,0.00,0.00,0.00
"University of Information Science and Technology St. Paul The Apostle""",918,0.00,0.00,0.00
"Jordan University of Science and Technology",919,0.00,2.00,0.00
"Jerash University",920,0.00,0.00,0.00
"Mount Mercy University",921,0.00,0.00,0.00
"University of Western Ontario",922,0.00,1.00,0.00
"William Jewell College",923,0.00,1.00,0.00
"ICT University",924,0.00,0.00,0.00
"Harding University",925,0.00,0.00,0.00
"New York Institute of Technology",926,0.00,0.00,0.00
"University of Innsbruck",927,0.00,0.00,0.00
"Vennard College",928,0.00,0.00,0.00
"Air University (United States Air Force)",929,0.00,2.00,0.00
"North Carolina A&T State University",930,0.00,6.00,0.00
"Anglo-American University",931,0.00,0.00,0.00
"University of Nebraska system",932,0.00,0.00,0.00
"University of Tennessee at Chattanooga",933,0.00,0.00,0.00
"Open University",934,0.00,0.00,0.00
"Institute of technology",935,0.00,0.00,0.00
"Linnaeus University",936,0.00,0.00,0.00
"Chapman University",937,0.00,0.00,0.00
"Portland Community College",938,0.00,0.00,0.00
"City University",939,0.00,0.00,0.00
"Lawrence Technological University",940,0.00,1.00,0.00
"University of Advancing Technology",941,0.00,0.00,0.00
"Yunnan University",942,0.00,0.00,0.00
"Baylor College of Medicine",943,0.00,0.00,0.00
"University of Bern",944,0.00,1.00,0.00
"Arkansas State University",945,0.00,0.00,0.00
"ITMO University",946,0.00,0.00,0.00
"Capital University",947,0.00,0.00,0.00
"Hachinohe Gakuin University",948,0.00,0.00,0.00
"Keio University",949,0.00,1.00,0.00
"Princess Sumaya University for Technology",950,0.00,0.00,0.00
"Salus University",951,0.00,0.00,0.00
"Cardinal Stritch University",952,0.00,0.00,0.00
"List of aerospace engineering schools",953,0.00,0.00,0.00
"University of Connecticut",954,0.00,2.00,0.00
"Marian University (Indiana)",955,0.00,0.00,0.00
"New College of Florida",956,0.00,1.00,0.00
"Catholic University of America",957,0.00,0.00,0.00
"Indiana University",958,0.00,2.00,0.00
"Dowling College",959,0.00,0.00,0.00
"Free University of Bozen-Bolzano",960,0.00,0.00,0.00
"Illinois State University",961,0.00,0.00,0.00
"Özyeğin University",962,0.00,0.00,0.00
"Lone Star College System",963,0.00,0.00,0.00
"St. Cloud State University",964,0.00,0.00,0.00
"Singapore Management University",965,0.00,3.00,0.00
"Daido University",966,0.00,1.00,0.00
"University of Salerno",967,0.00,0.00,0.00
"Freed–Hardeman University",968,0.00,0.00,0.00
"Umm al-Qura University",969,0.00,0.00,0.00
"University of Alabama at Birmingham",970,0.00,0.00,0.00
"Thompson Rivers University",971,0.00,0.00,0.00
"University of Missouri–St. Louis",972,0.00,1.00,0.00
"Stockholm University",973,0.00,0.00,0.00
"Pohang University of Science and Technology",974,0.00,0.00,0.00
"Mälardalen University College",975,0.00,0.00,0.00
"LAB University of Applied Sciences",976,0.00,0.00,0.00
"University of Derby",977,0.00,0.00,0.00
"Phillips University",978,0.00,1.00,0.00
"MD Anderson Cancer Center",979,0.00,1.00,0.00
"Hampshire College",980,0.00,1.00,0.00
"Cheyney University of Pennsylvania",981,0.00,1.00,0.00
"DeVry University",982,0.00,0.00,0.00
"Southern Connecticut State University",983,0.00,0.00,0.00
"Osaka University",984,0.00,1.00,0.00
"Northern Arizona University",985,0.00,0.00,0.00
"Ajou University",986,0.00,0.00,0.00
"Lamar University",987,0.00,1.00,0.00
"Colorado Mesa University",988,0.00,1.00,0.00
"Southern New Hampshire University",989,0.00,0.00,0.00
"Worcester State University",990,0.00,0.00,0.00
"Yaşar University",991,0.00,0.00,0.00
"LUT University",992,0.00,0.00,0.00
"List of unaccredited institutions of higher education",993,0.00,0.00,0.00
"King Abdullah University of Science and Technology",994,0.00,0.00,0.00
"Fiji National University",995,0.00,0.00,0.00
"Qatar University",996,0.00,0.00,0.00
"Georgia Southern University–Armstrong Campus",997,0.00,0.00,0.00
"University of Cyprus",998,0.00,0.00,0.00
"Chatham University",999,0.00,0.00,0.00
"Oglethorpe University",1000,0.00,1.00,0.00
"Wilfrid Laurier University",1001,0.00,1.00,0.00
"Marist College",1002,0.00,1.00,0.00
"American Business and Technology University",1003,0.00,0.00,0.00
"Jiwaji University",1004,0.00,0.00,0.00
"Idaho State University",1005,0.00,0.00,0.00
"Pepperdine University",1006,0.00,0.00,0.00
"Sorbonne University",1007,0.00,0.00,0.00
"Oakton Community College",1008,0.00,0.00,0.00
"Saint Martin's University",1009,0.00,0.00,0.00
"Azerbaijan State Oil and Industry University",1010,0.00,1.00,0.00
"University of Dundee",1011,0.00,0.00,0.00
"University of Silicon Valley",1012,0.00,0.00,0.00
"Ryerson University",1013,0.00,0.00,0.00
"Open University of Tanzania",1014,0.00,0.00,0.00
"University of Arkansas at Little Rock",1015,0.00,1.00,0.00
"Petra University",1016,0.00,0.00,0.00
"De Montfort University",1017,0.00,1.00,0.00
"Palm Beach State College",1018,0.00,0.00,0.00
"Oral Roberts University",1019,0.00,0.00,0.00
"Capitol Technology University",1020,0.00,0.00,0.00
"University of Michigan–Dearborn",1021,0.00,1.00,0.00
"Wageningen University & Research",1022,0.00,0.00,0.00
"Sophia University",1023,0.00,0.00,0.00
"University of Mississippi",1024,0.00,0.00,0.00
"National University of Health Sciences",1025,0.00,1.00,0.00
"Youngstown State University",1026,0.00,0.00,0.00
"Paris Diderot University",1027,0.00,1.00,0.00
"California State University San Marcos",1028,0.00,0.00,0.00
"University of Bremen",1029,0.00,0.00,0.00
"University of Agder",1030,0.00,0.00,0.00
"University of Medicine and Dentistry of New Jersey",1031,0.00,0.00,0.00
"American University of Armenia",1032,0.00,0.00,0.00
"Coastal Carolina University",1033,0.00,1.00,0.00
"Murray State University",1034,0.00,0.00,0.00
"Tusculum University",1035,0.00,2.00,0.00
"Surugadai University",1036,0.00,0.00,0.00
"New York University Abu Dhabi",1037,0.00,0.00,0.00
"Central European University",1038,0.00,0.00,0.00
"List of university and college schools of music",1039,0.00,0.00,0.00
"Columbia College Chicago",1040,0.00,0.00,0.00
"Reichman University",1041,0.00,2.00,0.00
"York College of Pennsylvania",1042,0.00,0.00,0.00
"Kwantlen Polytechnic University",1043,0.00,0.00,0.00
"Zhejiang University of Technology",1044,0.00,1.00,0.00
"New World University",1045,0.00,0.00,0.00
"Fırat University",1046,0.00,0.00,0.00
"Wichita State University",1047,0.00,1.00,0.00
"Elizabeth City State University",1048,0.00,0.00,0.00
"Gandhi Institute of Technology and Management",1049,0.00,1.00,0.00
"University of Colorado Colorado Springs",1050,0.00,0.00,0.00
"ITT Technical Institute",1051,0.00,0.00,0.00
"Pädagogische Hochschule Schwäbisch Gmünd",1052,0.00,0.00,0.00
"National Defense University",1053,0.00,2.00,0.00
"Jones International University",1054,0.00,0.00,0.00
"Walden University",1055,0.00,0.00,0.00
"Grand Valley State University",1056,0.00,0.00,0.00
"Goddard College",1057,0.00,0.00,0.00
"Muğla University",1058,0.00,0.00,0.00
"University of Maine",1059,0.00,2.00,0.00
"Mount Holyoke College",1060,0.00,0.00,0.00
"Teikyo University",1061,0.00,0.00,0.00
"Macquarie University",1062,0.00,0.00,0.00
"University of Nevada, Las Vegas",1063,0.00,1.00,0.00
"University of Maryland School of Medicine",1064,0.00,0.00,0.00
"Warren Wilson College",1065,0.00,0.00,0.00
"Chinese Culture University",1066,0.00,0.00,0.00
"University of Alabama in Huntsville",1067,0.00,1.00,0.00
"Monmouth University",1068,0.00,0.00,0.00
"Seton Hall University",1069,0.00,0.00,0.00
"Université libre de Bruxelles",1070,0.00,0.00,0.00
"Mid-Continent University",1071,0.00,0.00,0.00
"Medical University of South Carolina",1072,0.00,1.00,0.00
"Sheridan College",1073,0.00,0.00,0.00
"Botho University",1074,0.00,0.00,0.00
"University of South Carolina Upstate",1075,0.00,0.00,0.00
"Uniformed Services University of the Health Sciences",1076,0.00,1.00,0.00
"RWTH Aachen University",1077,0.00,1.00,0.00
"University of North Carolina Wilmington",1078,0.00,2.00,0.00
"Ateneo de Manila University",1079,0.00,1.00,0.00
"University of Liverpool",1080,0.00,0.00,0.00
"University of the Arts (Philadelphia)",1081,0.00,0.00,0.00
"Austin Community College District",1082,0.00,0.00,0.00
"Johnson & Wales University",1083,0.00,0.00,0.00
"St. Edward's University",1084,0.00,0.00,0.00
"California Baptist University",1085,0.00,1.00,0.00
"University of Nevada, Reno",1086,0.00,0.00,0.00
"Soka University of America",1087,0.00,1.00,0.00
"Brescia University",1088,0.00,1.00,0.00
"Northeast Forestry University",1089,0.00,0.00,0.00
"Keck Graduate Institute",1090,0.00,0.00,0.00
"Information Technology University",1091,0.00,2.00,0.00
"Bethel University (Minnesota)",1092,0.00,0.00,0.00
"Tamil Nadu Veterinary and Animal Sciences University",1093,0.00,0.00,0.00
"Université catholique de Louvain",1094,0.00,0.00,0.00
"Ruhr University Bochum",1095,0.00,1.00,0.00
"Thomas Jefferson University",1096,0.00,0.00,0.00
"Islamic Azad University",1097,0.00,0.00,0.00
"Leipzig University",1098,0.00,0.00,0.00
"Private university",1099,0.00,1.00,0.00
"Baldwin Wallace University",1100,0.00,1.00,0.00
"Bu-Ali Sina University",1101,0.00,1.00,0.00
"Westminster College (Pennsylvania)",1102,0.00,1.00,0.00
"University of Zaragoza",1103,0.00,1.00,0.00
"Lindenwood University",1104,0.00,2.00,0.00
"Seattle University",1105,0.00,1.00,0.00
"Troy University",1106,0.00,1.00,0.00
"University of Wisconsin–Platteville",1107,0.00,0.00,0.00
"University of Malaya",1108,0.00,1.00,0.00
"Fort Valley State University",1109,0.00,1.00,0.00
"Claflin University",1110,0.00,0.00,0.00
"EAFIT University",1111,0.00,0.00,0.00
"Kyushu University",1112,0.00,1.00,0.00
"Johnson University",1113,0.00,1.00,0.00
"Bridgewater College",1114,0.00,1.00,0.00
"Linköping University",1115,0.00,1.00,0.00
"Bangladesh University",1116,0.00,1.00,0.00
"University of Toulouse",1117,0.00,0.00,0.00
"Palo Alto University",1118,0.00,1.00,0.00
"Newberry College",1119,0.00,1.00,0.00
"Tennessee State University",1120,0.00,1.00,0.00
"Bethel University (Indiana)",1121,0.00,0.00,0.00
"Southeastern Louisiana University",1122,0.00,0.00,0.00
"Abilene Christian University",1123,0.00,0.00,0.00
"University of Akron",1124,0.00,0.00,0.00
"University of Tripoli",1125,0.00,0.00,0.00
"Post University",1126,0.00,0.00,0.00
"King Fahd University of Petroleum and Minerals",1127,0.00,0.00,0.00
"University of Houston–Clear Lake",1128,0.00,0.00,0.00
"University of Texas Health Science Center at Houston",1129,0.00,1.00,0.00
"Texas Southern University",1130,0.00,0.00,0.00
"Baylor University",1131,0.00,1.00,0.00
"OGI School of Science and Engineering",1132,0.00,0.00,0.00
"Durham University",1133,0.00,3.00,0.00
"University College Dublin",1134,0.00,1.00,0.00
"Appalachian State University",1135,0.00,0.00,0.00
"University of Hertfordshire",1136,0.00,0.00,0.00
"Uppsala University",1137,0.00,0.00,0.00
