school,ranking,indegree,outdegree,in_to_out_ratio
"Peking University",128,2.00,1.00,2.00
"West Virginia University",129,8.00,12.00,0.67
"University of North Carolina at Charlotte",130,6.00,7.00,0.86
"Tufts University",131,5.00,7.00,0.71
"Stevens Institute of Technology",132,4.00,4.00,1.00
"Indian Institute of Science",133,4.00,5.00,0.80
"George Mason University",134,5.00,10.00,0.50
"Indiana University Bloomington",135,6.00,4.00,1.50
"Dublin City University",136,1.00,0.00,1.00
"Stanford Graduate School of Business",137,3.00,0.00,3.00
"Nanyang Technological University",138,5.00,4.00,1.25
"Iowa State University",139,10.00,18.00,0.56
"University of Oxford",140,5.00,3.00,1.67
"University of California, Santa Cruz",141,4.00,4.00,1.00
"American University",142,3.00,2.00,1.50
"University of Central Florida",143,7.00,14.00,0.50
"University of New Hampshire",144,3.00,4.00,0.75
"Drexel University",145,5.00,7.00,0.71
"Howard University",146,2.00,1.00,2.00
"University of Delaware",147,5.00,8.00,0.62
"Washington State University",148,6.00,9.00,0.67
"University of Texas at Dallas",149,4.00,6.00,0.67
"Technion – Israel Institute of Technology",150,4.00,4.00,1.00
"Clemson University",151,5.00,5.00,1.00
"Northeastern University",152,4.00,4.00,1.00
"University College London",153,3.00,2.00,1.50
"Southern Illinois University",154,3.00,1.00,3.00
"Illinois Institute of Technology",155,5.00,5.00,1.00
"University of Cambridge",156,4.00,5.00,0.80
"Technische Universität Darmstadt",157,3.00,1.00,3.00
"National University of Singapore",158,3.00,5.00,0.60
"University of Alabama",159,2.00,2.00,1.00
"University of South Carolina",160,7.00,15.00,0.47
"Free University of Berlin",161,2.00,0.00,2.00
"Louisiana State University",162,3.00,9.00,0.33
"University of Kentucky",163,3.00,5.00,0.60
"University of Science and Technology of China",164,2.00,1.00,2.00
"University of Missouri",165,2.00,1.00,2.00
"Wesleyan University",166,2.00,0.00,2.00
"University of Cincinnati",167,4.00,0.00,4.00
"University of Louisiana at Lafayette",168,3.00,2.00,1.50
"University of Rhode Island",169,2.00,0.00,2.00
"University of Iowa",170,3.00,4.00,0.75
"Dartmouth College",171,6.00,15.00,0.40
"Polytechnic University of Turin",172,2.00,2.00,1.00
"UCLA Graduate School of Education and Information Studies",173,2.00,0.00,2.00
"Texas Tech University",174,2.00,3.00,0.67
"Duke University School of Medicine",175,1.00,0.00,1.00
"University of Basel",176,2.00,0.00,2.00
"Bates College",177,1.00,0.00,1.00
"University of Edinburgh",178,3.00,3.00,1.00
"University of Colorado Denver",179,2.00,1.00,2.00
"Jadavpur University",180,2.00,0.00,2.00
"Florida International University",181,2.00,4.00,0.50
"University of Massachusetts Dartmouth",182,2.00,0.00,2.00
"University of Warwick",183,2.00,3.00,0.67
"Wharton School of the University of Pennsylvania",184,2.00,0.00,2.00
"Karlsruhe Institute of Technology",185,2.00,0.00,2.00
"University of Louisville",186,2.00,0.00,2.00
"City University of New York",187,3.00,2.00,1.50
"University of Paris",188,1.00,0.00,1.00
"University of Houston",189,2.00,6.00,0.33
"University of Pavia",190,1.00,0.00,1.00
"IIT Kharagpur",191,2.00,1.00,2.00
"Eli Broad College of Business",192,2.00,0.00,2.00
"University at Albany, SUNY",193,2.00,0.00,2.00
"Saint Joseph's University",194,3.00,1.00,3.00
"Stanford University School of Medicine",195,2.00,0.00,2.00
"University of Georgia",196,2.00,1.00,2.00
"Max Planck Institute for Intelligent Systems",197,1.00,0.00,1.00
"Technical University of Košice",198,1.00,0.00,1.00
"Worcester Polytechnic Institute",199,2.00,8.00,0.25
"Western New England University",200,1.00,0.00,1.00
"Goethe University Frankfurt",201,1.00,0.00,1.00
"Florida State University",202,3.00,5.00,0.60
"University of Alberta",203,2.00,5.00,0.40
"Rutgers University–Newark",204,1.00,0.00,1.00
"University of Essex",205,1.00,1.00,1.00
"Harvard–MIT Program in Health Sciences and Technology",206,1.00,0.00,1.00
"U.S. Air Force Test Pilot School",207,1.00,0.00,1.00
"University of Southampton",208,1.00,1.00,1.00
"Louisiana State University Shreveport",209,1.00,0.00,1.00
"Harvard Law School",210,1.00,0.00,1.00
"Texas Christian University",211,1.00,1.00,1.00
"Bar-Ilan University",212,1.00,0.00,1.00
"Syracuse University College of Engineering and Computer Science",213,1.00,0.00,1.00
"University of Helsinki",214,2.00,0.00,2.00
"Northeastern University School of Law",215,1.00,0.00,1.00
"Stephen Wolfram",216,1.00,0.00,1.00
"Tulane University",217,1.00,1.00,1.00
"Georgetown University",218,1.00,3.00,0.33
"George Washington University College of Professional Studies",219,1.00,0.00,1.00
"Aalto University",220,1.00,0.00,1.00
"Rockefeller University",221,1.00,0.00,1.00
"University of Colorado School of Medicine",222,1.00,0.00,1.00
"French Institute for Research in Computer Science and Automation",223,1.00,0.00,1.00
"Galvanize (software company)",224,1.00,0.00,1.00
"University of Wisconsin–Milwaukee",225,1.00,0.00,1.00
"Colorado State University–Global Campus",226,1.00,0.00,1.00
"Harrisburg University of Science and Technology",227,1.00,0.00,1.00
"Hamburg University of Applied Sciences",228,1.00,0.00,1.00
"University of Texas at El Paso",229,1.00,1.00,1.00
"New Mexico State University",230,1.00,0.00,1.00
"Michigan Technological University",231,1.00,2.00,0.50
"Louisiana Tech University",232,1.00,0.00,1.00
"University of Amsterdam",233,1.00,0.00,1.00
"University of New South Wales",234,1.00,0.00,1.00
"University of Queensland",235,1.00,1.00,1.00
"Emory University",236,1.00,1.00,1.00
"Radboud University Nijmegen",237,1.00,0.00,1.00
"Broward College",238,1.00,0.00,1.00
"Carlson School of Management",239,1.00,0.00,1.00
"University of Wyoming",240,1.00,1.00,1.00
"Federal University of Rio Grande do Sul",241,1.00,0.00,1.00
"University of Extremadura",242,1.00,0.00,1.00
"University of South Florida",243,1.00,1.00,1.00
"Northcentral University",244,1.00,0.00,1.00
"Providence College",245,1.00,1.00,1.00
"University of Gothenburg",246,1.00,0.00,1.00
"Pace University",247,1.00,0.00,1.00
"Umeå University",248,1.00,0.00,1.00
"University of Victoria",249,1.00,3.00,0.33
"IT University of Copenhagen",250,1.00,0.00,1.00
"Fairmont State University",251,1.00,0.00,1.00
"University of San Diego",252,1.00,0.00,1.00
"University of Charleston",253,1.00,0.00,1.00
"Colorado Technical University",254,1.00,0.00,1.00
"Freiberg University of Mining and Technology",255,1.00,0.00,1.00
"Eastern Mediterranean University",256,1.00,0.00,1.00
"Bridgewater State University",257,1.00,0.00,1.00
"Salt Lake Community College",258,1.00,0.00,1.00
"Bocconi University",259,1.00,0.00,1.00
"West Chester University",260,1.00,0.00,1.00
"Washburn University School of Law",261,1.00,0.00,1.00
"IIT Madras",262,1.00,0.00,1.00
"Hong Kong University of Science and Technology",263,2.00,2.00,1.00
"David Geffen School of Medicine at UCLA",264,1.00,0.00,1.00
"Loyola Marymount University",265,1.00,0.00,1.00
"Aarhus University",266,1.00,1.00,1.00
"Max Planck Institute for Informatics",267,1.00,0.00,1.00
"University of Erlangen–Nuremberg",268,1.00,0.00,1.00
"Champlain College",269,1.00,0.00,1.00
"McMaster University",270,1.00,0.00,1.00
"Udacity",271,1.00,0.00,1.00
"Brock University",272,1.00,0.00,1.00
"Kellogg School of Management",273,2.00,0.00,2.00
"Wuhan University",274,2.00,0.00,2.00
"Chinese University of Hong Kong",275,1.00,0.00,1.00
"IIT Bombay",276,1.00,0.00,1.00
"University of Denver",277,2.00,0.00,2.00
"Georgia State University",278,1.00,2.00,0.50
"IIT Kanpur",279,1.00,2.00,0.50
"University of Bologna",280,1.00,2.00,0.50
"School of the Art Institute of Chicago",281,1.00,2.00,0.50
"Towson University",282,1.00,0.00,1.00
"National and Kapodistrian University of Athens",283,1.00,2.00,0.50
"Fudan University",284,1.00,2.00,0.50
"DePaul University",285,1.00,2.00,0.50
"Marquette University",286,1.00,2.00,0.50
"Auburn University",287,2.00,4.00,0.50
"University of Bonn",288,1.00,2.00,0.50
"University of Turin",289,1.00,0.00,1.00
"Old Dominion University",290,2.00,4.00,0.50
"Grand Canyon University",291,1.00,2.00,0.50
"Woods Hole Oceanographic Institution",292,1.00,0.00,1.00
"Technical University of Dortmund",293,1.00,0.00,1.00
"Eötvös Loránd University",294,1.00,0.00,1.00
"Shanghai Jiao Tong University",295,2.00,3.00,0.67
"University of Oklahoma",296,2.00,1.00,2.00
"Villanova University",297,2.00,1.00,2.00
"Cardiff University",298,2.00,0.00,2.00
"Sapienza University of Rome",299,1.00,1.00,1.00
"Johannes Kepler University Linz",300,1.00,1.00,1.00
"Beijing University of Posts and Telecommunications",301,1.00,1.00,1.00
"Université Laval",302,1.00,0.00,1.00
"Huazhong University of Science and Technology",303,2.00,0.00,2.00
"University of Tennessee",304,2.00,3.00,0.67
"University of Illinois College of Law",305,1.00,0.00,1.00
"National Polytechnic Institute of Toulouse",306,1.00,0.00,1.00
"Texas Woman's University",307,1.00,0.00,1.00
"Emerson College",308,1.00,0.00,1.00
"Embry–Riddle Aeronautical University",309,1.00,0.00,1.00
"ArtCenter College of Design",310,1.00,0.00,1.00
"Grenoble Institute of Technology",311,1.00,0.00,1.00
"California State University, Long Beach",312,1.00,0.00,1.00
"Swarthmore College",313,1.00,0.00,1.00
"University of Technology Sydney",314,1.00,0.00,1.00
"University of Redlands",315,1.00,0.00,1.00
"Moscow State University",316,1.00,0.00,1.00
"University of Kiel",317,1.00,0.00,1.00
"University of Würzburg",318,1.00,0.00,1.00
"Tishreen University",319,1.00,0.00,1.00
"Bowling Green State University",320,1.00,0.00,1.00
"Sharif University of Technology",321,1.00,0.00,1.00
"FIU Herbert Wertheim College of Medicine",322,1.00,0.00,1.00
"Indiana University–Purdue University Indianapolis",323,1.00,0.00,1.00
"St. John's University (New York City)",324,1.00,1.00,1.00
"Adelphi University",325,1.00,0.00,1.00
"Tata Memorial Centre",326,1.00,0.00,1.00
"University of Tehran",327,1.00,0.00,1.00
"University of Genoa",328,1.00,0.00,1.00
"Technical University of Munich",329,1.00,2.00,0.50
"Western Michigan University",330,1.00,0.00,1.00
"University of St Andrews",331,1.00,0.00,1.00
"University of California, Berkeley School of Information",332,1.00,0.00,1.00
"University of Freiburg",333,1.00,0.00,1.00
"Polytechnique Montréal",334,1.00,0.00,1.00
"École centrale de Lyon",335,1.00,0.00,1.00
"Instituto Superior Técnico",336,1.00,0.00,1.00
"A. James Clark School of Engineering",337,1.00,0.00,1.00
"Poolesville High School",338,1.00,0.00,1.00
"Eastern Michigan University",339,1.00,0.00,1.00
"Warsaw University of Technology",340,1.00,0.00,1.00
"Fordham Graduate School of Arts and Sciences",341,1.00,0.00,1.00
"University of Calgary",342,1.00,1.00,1.00
"Sun Yat-sen University",343,1.00,1.00,1.00
"Valencia College",344,1.00,0.00,1.00
"Arcadia University",345,1.00,0.00,1.00
"East Tennessee State University",346,1.00,0.00,1.00
"Atlantic Technical College",347,1.00,0.00,1.00
"Toyota Technological Institute at Chicago",348,1.00,0.00,1.00
"Saarland University",349,1.00,2.00,0.50
"Roma Tre University",350,1.00,0.00,1.00
"Bennett S. LeBow College of Business",351,1.00,0.00,1.00
"HEC Montréal",352,1.00,0.00,1.00
"Gwynedd Mercy University",353,1.00,0.00,1.00
"Widener University",354,1.00,0.00,1.00
"Lebanon Valley College",355,1.00,0.00,1.00
"Tsinghua University",356,1.00,3.00,0.33
"University of Tsukuba",357,1.00,0.00,1.00
"University of North Dakota",358,1.00,0.00,1.00
"École Polytechnique",359,1.00,1.00,1.00
"Teachers College, Columbia University",360,1.00,0.00,1.00
"Xidian University",361,1.00,1.00,1.00
"Pierre and Marie Curie University",362,1.00,0.00,1.00
"Hunter College",363,1.00,0.00,1.00
"École normale supérieure (Paris)",364,1.00,0.00,1.00
"Columbus College of Art and Design",365,1.00,0.00,1.00
"Australian National University",366,1.00,0.00,1.00
"Tilburg University",367,1.00,1.00,1.00
"Johns Hopkins School of Medicine",368,1.00,0.00,1.00
"Cairo University",369,1.00,1.00,1.00
"TU Wien",370,1.00,0.00,1.00
"Carroll School of Management",371,1.00,0.00,1.00
"Victoria University of Wellington",372,1.00,0.00,1.00
"Regent University",373,1.00,0.00,1.00
"Polytechnic University of Catalonia",374,1.00,0.00,1.00
"University of Patras",375,1.00,0.00,1.00
"Harvard T.H. Chan School of Public Health",376,1.00,0.00,1.00
"Weber State University",377,1.00,0.00,1.00
