school,ranking,indegree,outdegree,in_to_out_ratio
Colorado State University–Global Campus,142,1.00,0.00,1.00
George Mason University,143,5.00,10.00,0.50
Technical University of Kaiserslautern,144,3.00,1.00,3.00
Emory University,145,1.00,1.00,1.00
University of Victoria,146,1.00,3.00,0.33
University of Rhode Island,147,2.00,0.00,2.00
Michigan Technological University,148,1.00,2.00,0.50
Freiberg University of Mining and Technology,149,1.00,0.00,1.00
Grenoble Institute of Technology,150,1.00,0.00,1.00
IIT Bombay,151,1.00,0.00,1.00
Stanford Graduate School of Business,152,3.00,0.00,3.00
Max Planck Institute for Intelligent Systems,153,1.00,0.00,1.00
Technical University of Košice,154,1.00,0.00,1.00
Brock University,155,1.00,0.00,1.00
Harvard–MIT Program in Health Sciences and Technology,156,1.00,0.00,1.00
U.S. Air Force Test Pilot School,157,1.00,0.00,1.00
Kellogg School of Management,158,2.00,0.00,2.00
University at Albany,159,0.00,0.00,0.00
Shanghai Jiao Tong University,160,2.00,3.00,0.67
University of Helsinki,161,2.00,0.00,2.00
University of Alabama,162,2.00,2.00,1.00
IIT Kanpur,163,1.00,2.00,0.50
University of Warwick,164,2.00,3.00,0.67
University of Bonn,165,1.00,2.00,0.50
Harvard Law School,166,1.00,0.00,1.00
University of Würzburg,167,1.00,0.00,1.00
City University of New York,168,3.00,2.00,1.50
St. John's University (New York City),169,1.00,1.00,1.00
Adelphi University,170,1.00,0.00,1.00
Technical University of Dortmund,171,1.00,0.00,1.00
Eötvös Loránd University,172,1.00,0.00,1.00
Wesleyan University,173,2.00,0.00,2.00
Aarhus University,174,1.00,1.00,1.00
Loyola Marymount University,175,1.00,0.00,1.00
Moscow State University,176,1.00,0.00,1.00
Eli Broad College of Business,177,2.00,0.00,2.00
Max Planck Institute for Informatics,178,1.00,0.00,1.00
University of Erlangen–Nuremberg,179,1.00,0.00,1.00
McMaster University,180,1.00,0.00,1.00
Bar-Ilan University,181,1.00,0.00,1.00
University of Colorado Denver,182,2.00,1.00,2.00
University of Technology Sydney,183,1.00,0.00,1.00
University of North Dakota,184,1.00,0.00,1.00
University of South Dakota,185,2.00,1.00,2.00
Emerson College,186,1.00,0.00,1.00
Missouri University of Science and Technology,187,3.00,2.00,1.50
Tata Memorial Centre,188,1.00,0.00,1.00
University of Texas at Arlington,189,11.00,11.00,1.00
École normale supérieure (Paris),190,1.00,0.00,1.00
Wuhan University,191,2.00,0.00,2.00
Johannes Kepler University Linz,192,1.00,1.00,1.00
Beijing University of Posts and Telecommunications,193,1.00,1.00,1.00
University of Iowa,194,3.00,4.00,0.75
Colorado State University,195,10.00,16.00,0.62
University of Illinois College of Law,196,1.00,0.00,1.00
University of California,197,0.00,1.00,0.00
Horace H. Rackham School of Graduate Studies,198,1.00,0.00,1.00
Cardiff University,199,2.00,0.00,2.00
Valencia College,200,1.00,0.00,1.00
University of Oklahoma,201,2.00,1.00,2.00
Vrije Universiteit Amsterdam,202,1.00,0.00,1.00
Instituto Superior Técnico,203,1.00,0.00,1.00
A. James Clark School of Engineering,204,1.00,0.00,1.00
Drexel University,205,5.00,7.00,0.71
University of Massachusetts Dartmouth,206,2.00,0.00,2.00
University of California,207,0.00,1.00,0.00
Cairo University,208,1.00,1.00,1.00
Eastern Michigan University,209,1.00,0.00,1.00
Johns Hopkins School of Medicine,210,1.00,0.00,1.00
University of Cincinnati,211,4.00,0.00,4.00
University of Idaho,212,1.00,0.00,1.00
San Jose State University,213,1.00,1.00,1.00
Harvard T.H. Chan School of Public Health,214,1.00,0.00,1.00
Toyota Technological Institute at Chicago,215,1.00,0.00,1.00
Saarland University,216,1.00,2.00,0.50
Wharton School of the University of Pennsylvania,217,2.00,0.00,2.00
Karlsruhe Institute of Technology,218,2.00,0.00,2.00
Czech Technical University in Prague,219,2.00,1.00,2.00
Stevens Institute of Technology,220,4.00,4.00,1.00
Victoria University of Wellington,221,1.00,0.00,1.00
West Virginia University,222,8.00,12.00,0.67
Texas Woman's University,223,1.00,0.00,1.00
University of Tsukuba,224,1.00,0.00,1.00
Oregon State University,225,5.00,4.00,1.25
Huazhong University of Science and Technology,226,2.00,0.00,2.00
Worcester Polytechnic Institute,227,2.00,8.00,0.25
School of Visual Arts,228,1.00,0.00,1.00
University of Alberta,229,2.00,5.00,0.40
University of Tennessee,230,2.00,3.00,0.67
Northwestern University Pritzker School of Law,231,1.00,0.00,1.00
Sharif University of Technology,232,1.00,0.00,1.00
University of Maryland Global Campus,233,0.00,0.00,0.00
Allegheny College,234,0.00,0.00,0.00
North Park University,235,0.00,0.00,0.00
University of St. Thomas (Minnesota),236,0.00,0.00,0.00
IIT Delhi,237,0.00,1.00,0.00
Beihang University,238,0.00,2.00,0.00
University of the Western Cape,239,0.00,0.00,0.00
Middlebury College,240,0.00,0.00,0.00
University of Electronic Science and Technology of China,241,0.00,0.00,0.00
Tulane University,242,1.00,1.00,1.00
Tongji University,243,0.00,0.00,0.00
Monterrey Institute of Technology and Higher Education,244,0.00,0.00,0.00
MIT Sloan School of Management,245,0.00,0.00,0.00
Zhejiang University,246,0.00,0.00,0.00
Hong Kong University of Science and Technology,247,2.00,2.00,1.00
Jagiellonian University,248,0.00,0.00,0.00
Tsinghua University,249,1.00,3.00,0.33
United States Navy Strike Fighter Tactics Instructor program,250,0.00,0.00,0.00
University of Ulm,251,0.00,0.00,0.00
Chennai Mathematical Institute,252,0.00,0.00,0.00
Wang Institute of Graduate Studies,253,0.00,0.00,0.00
IIT Madras,254,1.00,0.00,1.00
London School of Economics,255,0.00,0.00,0.00
Olin College,256,0.00,1.00,0.00
Hofstra University,257,0.00,1.00,0.00
not found,258,0.00,0.00,0.00
Jawaharlal Nehru University,259,0.00,0.00,0.00
Eindhoven University of Technology,260,0.00,2.00,0.00
Pratt Institute,261,0.00,0.00,0.00
East China Normal University,262,0.00,0.00,0.00
Sabancı University,263,0.00,0.00,0.00
Middle East Technical University,264,0.00,2.00,0.00
Bilkent University,265,0.00,0.00,0.00
Waseda University,266,0.00,0.00,0.00
California State University,267,0.00,0.00,0.00
University of Wisconsin–Oshkosh,268,0.00,0.00,0.00
Singapore University of Technology and Design,269,0.00,0.00,0.00
Beijing Jiaotong University,270,0.00,0.00,0.00
University of North Carolina at Greensboro,271,0.00,0.00,0.00
Florida State University,272,3.00,5.00,0.60
Houghton College,273,0.00,0.00,0.00
IIT Roorkee,274,0.00,0.00,0.00
Webster University,275,0.00,1.00,0.00
Seoul National University,276,2.00,1.00,2.00
The College at Brockport,277,0.00,0.00,0.00
Ocean University of China,278,0.00,0.00,0.00
University of Oregon,279,0.00,2.00,0.00
Shandong University,280,0.00,0.00,0.00
University of the Chinese Academy of Sciences,281,0.00,0.00,0.00
Bangalore Institute of Technology,282,0.00,0.00,0.00
Beijing Forestry University,283,0.00,0.00,0.00
Istanbul Technical University,284,0.00,1.00,0.00
Binghamton University,285,1.00,1.00,1.00
University of Vermont,286,0.00,1.00,0.00
Hanyang University,287,0.00,0.00,0.00
Vistula University,288,0.00,0.00,0.00
PES University,289,0.00,0.00,0.00
Colvin Taluqdars' College,290,0.00,0.00,0.00
University of Padua,291,0.00,1.00,0.00
National Taiwan University,292,0.00,0.00,0.00
University of San Francisco,293,0.00,0.00,0.00
Southeast University,294,0.00,0.00,0.00
UCLA Anderson School of Management,295,0.00,0.00,0.00
California Institute of the Arts,296,0.00,0.00,0.00
Santa Clara University,297,0.00,0.00,0.00
Florida Institute of Technology,298,0.00,0.00,0.00
Queens College,299,0.00,0.00,0.00
Southern Methodist University,300,1.00,4.00,0.25
University of Miami,301,0.00,2.00,0.00
University of Central Florida,302,7.00,14.00,0.50
University of Central Florida College of Business Administration,303,0.00,0.00,0.00
Hebei Normal University,304,0.00,0.00,0.00
Sichuan University,305,0.00,0.00,0.00
Jadavpur University,306,2.00,0.00,2.00
Campion College,307,0.00,0.00,0.00
Dalian University of Technology,308,0.00,0.00,0.00
Osnabrück University,309,0.00,0.00,0.00
University of Patras,310,1.00,0.00,1.00
University of Orléans,311,0.00,1.00,0.00
Aristotle University of Thessaloniki,312,0.00,0.00,0.00
Evergreen State College,313,0.00,0.00,0.00
Boğaziçi University,314,0.00,1.00,0.00
University of Science and Technology of China,315,2.00,1.00,2.00
University of Kansas,316,5.00,5.00,1.00
High School Affiliated to Fudan University,317,0.00,0.00,0.00
Maret School,318,0.00,0.00,0.00
Illinois Institute of Technology,319,5.00,5.00,1.00
St. Columba's School,320,0.00,0.00,0.00
Birla Institute of Technology and Science,321,0.00,0.00,0.00
Colby College,322,0.00,0.00,0.00
Macalester College,323,0.00,0.00,0.00
Sun Yat-sen University,324,1.00,1.00,1.00
Odense University,325,0.00,0.00,0.00
University of Southern Denmark,326,0.00,1.00,0.00
University College Cork,327,0.00,0.00,0.00
Pomona College,328,0.00,0.00,0.00
Lexington High School (Massachusetts),329,0.00,0.00,0.00
Tel Aviv University,330,0.00,1.00,0.00
The New School,331,0.00,0.00,0.00
Swarthmore College,332,1.00,0.00,1.00
Supélec,333,0.00,0.00,0.00
Nankai University,334,0.00,0.00,0.00
Institute of Software,335,0.00,0.00,0.00
Williams College,336,0.00,0.00,0.00
Technical University of Valencia,337,0.00,0.00,0.00
National Institute of Technology Calicut,338,0.00,0.00,0.00
University of Richmond,339,0.00,0.00,0.00
Southwest Jiaotong University,340,0.00,0.00,0.00
Chestnut Hill College,341,0.00,0.00,0.00
University of Texas at Dallas,342,4.00,6.00,0.67
Earlham College,343,0.00,0.00,0.00
National Chiao Tung University,344,0.00,0.00,0.00
Staffordshire University,345,0.00,0.00,0.00
University of Burgundy,346,0.00,0.00,0.00
Yeshiva University,347,0.00,0.00,0.00
Calvin University,348,0.00,0.00,0.00
Champlain Valley Union High School,349,0.00,0.00,0.00
Kendriya Vidyalaya Sangathan,350,0.00,0.00,0.00
University of Mary Washington,351,0.00,0.00,0.00
Nanjing University of Information Science and Technology,352,0.00,0.00,0.00
Full Sail University,353,0.00,2.00,0.00
Regis University,354,0.00,1.00,0.00
University of Tulsa,355,2.00,1.00,2.00
Claremont McKenna College,356,0.00,0.00,0.00
IIT Guwahati,357,0.00,1.00,0.00
Wake Forest University,358,0.00,0.00,0.00
Stephen F. Austin High School (Austin,359,0.00,0.00,0.00
University of Arkansas,360,0.00,1.00,0.00
Arab Academy for Science,361,0.00,0.00,0.00
University of Rome Tor Vergata,362,0.00,0.00,0.00
Concordia University,363,0.00,0.00,0.00
Oberlin College,364,0.00,1.00,0.00
University of Warsaw,365,0.00,0.00,0.00
Delhi University,366,0.00,0.00,0.00
University of Freiburg,367,1.00,0.00,1.00
State University of New York at Purchase,368,0.00,0.00,0.00
University of Wisconsin–Eau Claire,369,0.00,0.00,0.00
Boston College,370,0.00,0.00,0.00
Visvesvaraya National Institute of Technology Nagpur,371,0.00,0.00,0.00
Hanoi University of Science and Technology,372,0.00,0.00,0.00
Harvey Mudd College,373,0.00,0.00,0.00
University of Hawaiʻi at Mānoa,374,0.00,0.00,0.00
South China University of Technology,375,0.00,0.00,0.00
Northeastern University (China),376,0.00,0.00,0.00
University of Zagreb,377,0.00,0.00,0.00
State University of New York,378,0.00,0.00,0.00
Rani Durgavati Vishwavidyalaya,379,0.00,0.00,0.00
Guru Ghasidas Vishwavidyalaya,380,0.00,0.00,0.00
University of Crete,381,0.00,0.00,0.00
Rose–Hulman Institute of Technology,382,0.00,1.00,0.00
Smith College,383,0.00,1.00,0.00
New York Academy of Art,384,0.00,0.00,0.00
Technical University of Munich,385,1.00,2.00,0.50
University of Hong Kong,386,0.00,0.00,0.00
University of Macedonia,387,0.00,0.00,0.00
University of Manchester,388,0.00,0.00,0.00
University of Texas at El Paso,389,1.00,1.00,1.00
University of Oldenburg,390,0.00,0.00,0.00
Technical University of Berlin,391,0.00,1.00,0.00
FH Aachen,392,0.00,0.00,0.00
University of Auckland,393,0.00,0.00,0.00
Seaholm High School,394,0.00,0.00,0.00
University of Ioannina,395,0.00,0.00,0.00
Georgetown University,396,1.00,3.00,0.33
Duquesne University,397,0.00,1.00,0.00
Bronx High School of Science,398,0.00,0.00,0.00
National Institute of Technology Karnataka,399,0.00,0.00,0.00
University of Adelaide,400,0.00,0.00,0.00
Watchung Hills Regional High School,401,0.00,0.00,0.00
United States Air Force Academy,402,0.00,2.00,0.00
Aalto University,403,1.00,0.00,1.00
List of universities in Austria,404,0.00,0.00,0.00
Ghent University,405,0.00,0.00,0.00
Bursa Technical University,406,0.00,0.00,0.00
Cooper Union,407,0.00,0.00,0.00
IIT (BHU) Varanasi,408,0.00,0.00,0.00
Savitribai Phule Pune University,409,0.00,0.00,0.00
New Mexico State University,410,1.00,0.00,1.00
University of Isfahan,411,0.00,0.00,0.00
Tarbiat Modares University,412,0.00,0.00,0.00
Australian National University,413,1.00,0.00,1.00
Louisiana Tech University,414,1.00,0.00,1.00
Western Illinois University,415,0.00,0.00,0.00
Fudan University,416,1.00,2.00,0.50
Nanjing University,417,0.00,1.00,0.00
EOI Business School,418,0.00,0.00,0.00
Polytechnic University of Catalonia,419,1.00,0.00,1.00
University of Deusto,420,0.00,1.00,0.00
California Polytechnic State University,421,0.00,0.00,0.00
Saratoga High School (California),422,0.00,0.00,0.00
Hefei University,423,0.00,0.00,0.00
University of Cape Town,424,0.00,0.00,0.00
DePaul University,425,1.00,2.00,0.50
American University of Beirut,426,0.00,1.00,0.00
California State University,427,0.00,0.00,0.00
Saint Joseph's University,428,3.00,1.00,3.00
Politehnica University of Bucharest,429,0.00,1.00,0.00
École Polytechnique,430,1.00,1.00,1.00
École des ponts ParisTech,431,0.00,2.00,0.00
Technical University of Madrid,432,0.00,1.00,0.00
Cranfield University,433,0.00,0.00,0.00
Clarkson University,434,0.00,0.00,0.00
Ulrich von Hutten,435,0.00,0.00,0.00
Florida International University,436,2.00,4.00,0.50
Queen's University,437,0.00,0.00,0.00
University of Liège,438,0.00,0.00,0.00
College of Engineering,439,0.00,0.00,0.00
Slovak University of Technology in Bratislava,440,0.00,0.00,0.00
University of Tehran,441,1.00,0.00,1.00
Brigham Young University,442,7.00,12.00,0.58
Wright State University,443,0.00,1.00,0.00
Netaji Subhas University of Technology,444,0.00,0.00,0.00
University of Pretoria,445,0.00,0.00,0.00
Utah State University,446,0.00,0.00,0.00
Gjøvik University College,447,0.00,0.00,0.00
University of Amsterdam,448,1.00,0.00,1.00
Amador Valley High School,449,0.00,0.00,0.00
TU Dresden,450,0.00,0.00,0.00
Chalmers University of Technology,451,1.00,1.00,1.00
University of Leeds,452,0.00,0.00,0.00
University of Ljubljana,453,0.00,0.00,0.00
St. Peter's College,454,0.00,0.00,0.00
Bauhaus University,455,0.00,0.00,0.00
Western University,456,0.00,1.00,0.00
Northeastern State University,457,0.00,0.00,0.00
Bangladesh University of Engineering and Technology,458,0.00,1.00,0.00
Sungkyunkwan University,459,0.00,4.00,0.00
Fu Foundation School of Engineering and Applied Science,460,0.00,0.00,0.00
University of New South Wales,461,1.00,0.00,1.00
College of Staten Island,462,0.00,0.00,0.00
Staples High School,463,0.00,0.00,0.00
Ridgewood High School (New Jersey),464,0.00,0.00,0.00
Charles University,465,0.00,0.00,0.00
Peter the Great St. Petersburg Polytechnic University,466,0.00,0.00,0.00
Junior college,467,0.00,0.00,0.00
Veermata Jijabai Technological Institute,468,0.00,0.00,0.00
Sonoma State University,469,0.00,0.00,0.00
Indian Institute of Technology (Indian School of Mines),470,0.00,0.00,0.00
Olympic College,471,0.00,1.00,0.00
Tianjin University,472,0.00,0.00,0.00
University of Queensland,473,1.00,1.00,1.00
University of the Witwatersrand,474,0.00,0.00,0.00
Central China Normal University,475,0.00,0.00,0.00
San Joaquin Delta College,476,0.00,0.00,0.00
Hangzhou Foreign Languages School,477,0.00,0.00,0.00
Johnson C. Smith University,478,0.00,0.00,0.00
University of Toledo,479,0.00,0.00,0.00
University of Belgrade,480,0.00,0.00,0.00
Albany State University,481,0.00,0.00,0.00
Auburn University,482,2.00,4.00,0.50
University of Vienna,483,0.00,0.00,0.00
University of Tübingen,484,0.00,0.00,0.00
University of Zurich,485,0.00,0.00,0.00
University of Regina,486,0.00,0.00,0.00
Emmaus High School,487,0.00,0.00,0.00
St. George's University,488,0.00,0.00,0.00
University of Michigan College of Engineering,489,0.00,0.00,0.00
Lincoln-Sudbury Regional High School,490,0.00,0.00,0.00
Belmont High School (Massachusetts),491,0.00,0.00,0.00
University of Mainz,492,0.00,0.00,0.00
Punjab Engineering College,493,0.00,0.00,0.00
Catholic University of Córdoba,494,0.00,0.00,0.00
Konkuk University,495,0.00,0.00,0.00
Choate Rosemary Hall,496,0.00,0.00,0.00
National Institute of Technology,497,0.00,0.00,0.00
Tennessee Technological University,498,0.00,1.00,0.00
Budapest University of Technology and Economics,499,0.00,0.00,0.00
Siena College,500,0.00,0.00,0.00
Alliance University,501,0.00,0.00,0.00
Florida A&M University,502,0.00,0.00,0.00
Moscow Institute of Physics and Technology,503,0.00,0.00,0.00
University of Ottawa,504,1.00,1.00,1.00
MIT World Peace University,505,0.00,0.00,0.00
Government College of Engineering & Textile Technology Serampore,506,0.00,0.00,0.00
United States Naval Academy,507,0.00,3.00,0.00
Truman State University,508,0.00,0.00,0.00
Shattuck-Saint Mary's,509,0.00,0.00,0.00
Carleton College,510,0.00,0.00,0.00
Luther College (Iowa),511,0.00,0.00,0.00
Trinity University (Texas),512,0.00,1.00,0.00
Birla High School,513,0.00,0.00,0.00
University of Moratuwa,514,0.00,1.00,0.00
National University of Computer and Emerging Sciences,515,0.00,1.00,0.00
Berklee College of Music,516,0.00,1.00,0.00
University of Sussex,517,0.00,0.00,0.00
Fordham University,518,0.00,2.00,0.00
University of Navarra,519,0.00,0.00,0.00
Aurora University,520,0.00,0.00,0.00
University of Nottingham,521,0.00,0.00,0.00
University of Stuttgart,522,0.00,1.00,0.00
Xiamen University,523,1.00,0.00,1.00
Humboldt University of Berlin,524,0.00,0.00,0.00
University of Calicut,525,0.00,0.00,0.00
Banaras Hindu University,526,0.00,0.00,0.00
RMIT University,527,0.00,0.00,0.00
Chaparral High School (Arizona),528,0.00,0.00,0.00
Haldia Institute of Technology,529,0.00,0.00,0.00
Grove City College,530,0.00,0.00,0.00
University of Houston,531,2.00,6.00,0.33
Union University,532,0.00,0.00,0.00
University of South Carolina,533,7.00,15.00,0.47
University of São Paulo,534,0.00,0.00,0.00
State University of New York at Plattsburgh,535,0.00,0.00,0.00
DePauw University,536,0.00,0.00,0.00
Lawrence University,537,0.00,0.00,0.00
China Medical University,538,0.00,0.00,0.00
Amirkabir University of Technology,539,0.00,0.00,0.00
Reed College,540,0.00,1.00,0.00
Miami University,541,0.00,3.00,0.00
Bloomsburg University of Pennsylvania,542,0.00,0.00,0.00
Palo Alto High School,543,0.00,0.00,0.00
Federal University of Minas Gerais,544,0.00,0.00,0.00
Ohio Wesleyan University,545,0.00,0.00,0.00
Ithaca College,546,0.00,0.00,0.00
University of Sydney,547,0.00,0.00,0.00
