school,ranking,indegree,outdegree,in_to_out_ratio
Mount Mercy University,600,0.00,0.00,0.00
William Jewell College,601,0.00,1.00,0.00
ICT University,602,0.00,0.00,0.00
Toyota Technological Institute,603,0.00,0.00,0.00
University of Innsbruck,604,0.00,0.00,0.00
University of Tennessee at Chattanooga,605,0.00,0.00,0.00
Open University,606,0.00,0.00,0.00
North Carolina A&T State University,607,0.00,6.00,0.00
Ohio University,608,0.00,2.00,0.00
Institute of technology,609,0.00,0.00,0.00
Linnaeus University,610,0.00,0.00,0.00
Chapman University,611,0.00,0.00,0.00
City University,612,0.00,0.00,0.00
Lawrence Technological University,613,0.00,1.00,0.00
University of Otago,614,0.00,0.00,0.00
ESIEE Paris,615,0.00,0.00,0.00
University of Advancing Technology,616,0.00,0.00,0.00
ITMO University,617,0.00,0.00,0.00
Capital University,618,0.00,0.00,0.00
Hachinohe Gakuin University,619,0.00,0.00,0.00
Keio University,620,0.00,1.00,0.00
List of aerospace engineering schools,621,0.00,0.00,0.00
Old Dominion University,622,2.00,4.00,0.50
Marian University (Indiana),623,0.00,0.00,0.00
University of California,624,0.00,1.00,0.00
New College of Florida,625,0.00,1.00,0.00
Free University of Bozen-Bolzano,626,0.00,0.00,0.00
Daido University,627,0.00,1.00,0.00
University of Salerno,628,0.00,0.00,0.00
Freed–Hardeman University,629,0.00,0.00,0.00
University of Alabama at Birmingham,630,0.00,0.00,0.00
Thompson Rivers University,631,0.00,0.00,0.00
University of Missouri–St. Louis,632,0.00,1.00,0.00
Pohang University of Science and Technology,633,0.00,0.00,0.00
Mälardalen University College,634,0.00,0.00,0.00
LAB University of Applied Sciences,635,0.00,0.00,0.00
University of Connecticut,636,0.00,2.00,0.00
University of Wyoming,637,1.00,1.00,1.00
Phillips University,638,0.00,1.00,0.00
Oregon Health & Science University,639,0.00,0.00,0.00
Indiana University–Purdue University Indianapolis,640,1.00,0.00,1.00
Hampshire College,641,0.00,1.00,0.00
Singapore Management University,642,0.00,3.00,0.00
Cheyney University of Pennsylvania,643,0.00,1.00,0.00
New Jersey Institute of Technology,644,0.00,2.00,0.00
Osaka University,645,0.00,1.00,0.00
Technische Universität Darmstadt,646,3.00,1.00,3.00
Northern Arizona University,647,0.00,0.00,0.00
Ajou University,648,0.00,0.00,0.00
Lamar University,649,0.00,1.00,0.00
Colorado Mesa University,650,0.00,1.00,0.00
Southern New Hampshire University,651,0.00,0.00,0.00
Southern Illinois University,652,3.00,1.00,3.00
Yaşar University,653,0.00,0.00,0.00
LUT University,654,0.00,0.00,0.00
King Abdullah University of Science and Technology,655,0.00,0.00,0.00
Fiji National University,656,0.00,0.00,0.00
University of Cyprus,657,0.00,0.00,0.00
Chatham University,658,0.00,0.00,0.00
Oglethorpe University,659,0.00,1.00,0.00
Wilfrid Laurier University,660,0.00,1.00,0.00
Marist College,661,0.00,1.00,0.00
University of Wisconsin–Milwaukee,662,1.00,0.00,1.00
American Business and Technology University,663,0.00,0.00,0.00
University of Canterbury,664,0.00,0.00,0.00
Jiwaji University,665,0.00,0.00,0.00
Pepperdine University,666,0.00,0.00,0.00
Sorbonne University,667,0.00,0.00,0.00
Azerbaijan State Oil and Industry University,668,0.00,1.00,0.00
Vienna University of Economics and Business,669,1.00,1.00,1.00
Ryerson University,670,0.00,0.00,0.00
University of Arkansas at Little Rock,671,0.00,1.00,0.00
De Montfort University,672,0.00,1.00,0.00
Palm Beach State College,673,0.00,0.00,0.00
Oral Roberts University,674,0.00,0.00,0.00
National University of Health Sciences,675,0.00,1.00,0.00
Paris Diderot University,676,0.00,1.00,0.00
University of Bremen,677,0.00,0.00,0.00
University of Agder,678,0.00,0.00,0.00
American University of Armenia,679,0.00,0.00,0.00
Coastal Carolina University,680,0.00,1.00,0.00
University of Mannheim,681,0.00,1.00,0.00
Dalhousie University,682,0.00,0.00,0.00
Murray State University,683,0.00,0.00,0.00
Sapienza University of Rome,684,1.00,1.00,1.00
Tusculum University,685,0.00,2.00,0.00
Surugadai University,686,0.00,0.00,0.00
New York University Abu Dhabi,687,0.00,0.00,0.00
Central European University,688,0.00,0.00,0.00
Korea University,689,0.00,2.00,0.00
Reichman University,690,0.00,2.00,0.00
York College of Pennsylvania,691,0.00,0.00,0.00
Kwantlen Polytechnic University,692,0.00,0.00,0.00
Zhejiang University of Technology,693,0.00,1.00,0.00
Wichita State University,694,0.00,1.00,0.00
Gandhi Institute of Technology and Management,695,0.00,1.00,0.00
Wayne State University,696,6.00,13.00,0.46
Pädagogische Hochschule Schwäbisch Gmünd,697,0.00,0.00,0.00
Grand Valley State University,698,0.00,0.00,0.00
University of Western Ontario,699,0.00,1.00,0.00
Muğla University,700,0.00,0.00,0.00
University of Maine,701,0.00,2.00,0.00
Teikyo University,702,0.00,0.00,0.00
Macquarie University,703,0.00,0.00,0.00
University of Nevada,704,0.00,0.00,0.00
Bentley University,705,0.00,0.00,0.00
University of Southampton,706,1.00,1.00,1.00
Chinese Culture University,707,0.00,0.00,0.00
University of Alabama in Huntsville,708,0.00,1.00,0.00
Villanova University,709,2.00,1.00,2.00
California State Polytechnic University,710,0.00,0.00,0.00
Monmouth University,711,0.00,0.00,0.00
Seton Hall University,712,0.00,0.00,0.00
Université libre de Bruxelles,713,0.00,0.00,0.00
University of Bern,714,0.00,1.00,0.00
Marquette University,715,1.00,2.00,0.50
Medical University of South Carolina,716,0.00,1.00,0.00
Uniformed Services University of the Health Sciences,717,0.00,1.00,0.00
University of North Carolina Wilmington,718,0.00,2.00,0.00
Manhattan College,719,0.00,1.00,0.00
Georgia State University,720,1.00,2.00,0.50
Ateneo de Manila University,721,0.00,1.00,0.00
University of Liverpool,722,0.00,0.00,0.00
University of the Arts (Philadelphia),723,0.00,0.00,0.00
Northern Virginia Community College,724,0.00,1.00,0.00
Austin Community College District,725,0.00,0.00,0.00
Johnson & Wales University,726,0.00,0.00,0.00
St. Edward's University,727,0.00,0.00,0.00
California Baptist University,728,0.00,1.00,0.00
University of Nevada,729,0.00,0.00,0.00
University of South Florida,730,1.00,1.00,1.00
Soka University of America,731,0.00,1.00,0.00
Brescia University,732,0.00,1.00,0.00
Northeast Forestry University,733,0.00,0.00,0.00
Keck Graduate Institute,734,0.00,0.00,0.00
Teachers College,735,0.00,0.00,0.00
Tamil Nadu Veterinary and Animal Sciences University,736,0.00,0.00,0.00
Ruhr University Bochum,737,0.00,1.00,0.00
National Defense University,738,0.00,2.00,0.00
University of Genoa,739,1.00,0.00,1.00
Thomas Jefferson University,740,0.00,0.00,0.00
Park University,741,0.00,1.00,0.00
Leipzig University,742,0.00,0.00,0.00
Private university,743,0.00,1.00,0.00
Baldwin Wallace University,744,0.00,1.00,0.00
Bu-Ali Sina University,745,0.00,1.00,0.00
Westminster College (Pennsylvania),746,0.00,1.00,0.00
University of Zaragoza,747,0.00,1.00,0.00
Lindenwood University,748,0.00,2.00,0.00
Air Force Institute of Technology,749,1.00,1.00,1.00
Seattle University,750,0.00,1.00,0.00
Troy University,751,0.00,1.00,0.00
Wellesley College,752,0.00,1.00,0.00
Winthrop University,753,0.00,0.00,0.00
University of Essex,754,1.00,1.00,1.00
University of Malaya,755,0.00,1.00,0.00
Fort Valley State University,756,0.00,1.00,0.00
Claflin University,757,0.00,0.00,0.00
EAFIT University,758,0.00,0.00,0.00
Kyushu University,759,0.00,1.00,0.00
Johnson University,760,0.00,1.00,0.00
Bridgewater College,761,0.00,1.00,0.00
University of Toulouse,762,0.00,0.00,0.00
Palo Alto University,763,0.00,1.00,0.00
York University,764,0.00,0.00,0.00
Newberry College,765,0.00,1.00,0.00
Tennessee State University,766,0.00,1.00,0.00
Bethel University (Indiana),767,0.00,0.00,0.00
Louisiana State University,768,3.00,9.00,0.33
Texas Tech University,769,2.00,3.00,0.67
Oklahoma State University–Stillwater,770,0.00,2.00,0.00
Post University,771,0.00,0.00,0.00
King Fahd University of Petroleum and Minerals,772,0.00,0.00,0.00
Baylor University,773,0.00,1.00,0.00
Durham University,774,0.00,3.00,0.00
Baylor College of Medicine,775,0.00,0.00,0.00
University College Dublin,776,0.00,1.00,0.00
Appalachian State University,777,0.00,0.00,0.00
Fairmont State University,778,1.00,0.00,1.00
Uppsala University,779,0.00,0.00,0.00
BRAC University,780,0.00,1.00,0.00
Friends University,781,0.00,0.00,0.00
Simón Bolívar University (Venezuela),782,0.00,0.00,0.00
American Public University System,783,0.00,2.00,0.00
Trine University,784,0.00,1.00,0.00
Grand Canyon University,785,1.00,2.00,0.50
Saxion University of Applied Sciences,786,0.00,1.00,0.00
Biola University,787,0.00,1.00,0.00
James Madison University,788,0.00,0.00,0.00
Temple University,789,9.00,15.00,0.60
