n
"{""name"":SUNY Binghamton}"
"{""name"":SUNY Stony Brook}"
"{""name"":University of California, Los Angeles}"
"{""name"":California State University-Northridge}"
"{""name"":Colvin Taluqdars' College, Lucknow}"
"{""name"":Indian Institute of Technology, Kanpur}"
"{""name"":Peking University}"
"{""name"":Indian Institute of Technology, Madras}"
"{""name"":University at Buffalo}"
"{""name"":Boston University}"
"{""name"":Università degli Studi di Padova}"
"{""name"":California Institute of Technology}"
"{""name"":East China Normal University}"
"{""name"":National Taiwan University}"
"{""name"":Korea Advanced Institute of Science and Technology}"
"{""name"":Sharif University of Technology}"
"{""name"":Eidgenössische Technische Hochschule Zürich}"
"{""name"":Katholieke Universiteit Leuven}"
"{""name"":The Ohio State University}"
"{""name"":UNC Chapel Hill}"
"{""name"":Indian Institute of Technology, Delhi}"
"{""name"":Stanford University}"
"{""name"":Tsinghua University}"
"{""name"":Alma Mater Studiorum - Università di Bologna}"
"{""name"":Columbia University}"
"{""name"":Jadavpur University}"
"{""name"":University of Utah}"
"{""name"":Technion-Machon Technologi Le' Israel}"
"{""name"":Campion School}"
"{""name"":Indian Institute of Technology, Bombay}"
"{""name"":Yale University}"
"{""name"":Massachusetts Institute of Technology}"
"{""name"":University of Washington}"
"{""name"":University of California, Berkeley}"
"{""name"":Liceo Ginnasio Luigi Galvani}"
"{""name"":Dalian University of Technology}"
"{""name"":Duke University}"
"{""name"":University of Cambridge}"
"{""name"":University of California, Irvine}"
"{""name"":Brown University}"
"{""name"":Zhejiang University}"
"{""name"":University of Cincinnati}"
"{""name"":University of Toronto}"
"{""name"":University of California, San Diego}"
"{""name"":Universität Osnabrück}"
"{""name"":Universität des Saarlandes}"
"{""name"":Panepistimion Patron}"
"{""name"":Universite d'Orleans}"
"{""name"":Tongji University}"
"{""name"":University of Maryland}"
"{""name"":IIT Kanpur}"
"{""name"":Cornell University}"
"{""name"":Georgia Institute of Technology}"
"{""name"":University of Wisconsin}"
"{""name"":Aristotelian University of Thessaloniki}"
"{""name"":Evergreen State College}"
"{""name"":Boğaziçi University}"
"{""name"":Northwestern University}"
"{""name"":Shanghai Jiao Tong University}"
"{""name"":University of Science and Technology of China}"
"{""name"":National University of Singapore}"
"{""name"":University of Southern California}"
"{""name"":High School Affiliated to Fudan University}"
"{""name"":The Maret School}"
"{""name"":Carnegie Mellon University}"
"{""name"":University of Rochester}"
"{""name"":Huazhong University of Science and Technology}"
"{""name"":Illinois Institute of Technology}"
"{""name"":Politecnico di Milano}"
"{""name"":St. Columba's School New Delhi}"
"{""name"":Birla Institute of Technology and Science, Pilani}"
"{""name"":Rensselaer Polytechnic Institute}"
"{""name"":Michigan State University}"
"{""name"":Kellogg Executive Education}"
"{""name"":Colby College}"
"{""name"":Lomonosov Moscow State University (MSU)}"
"{""name"":Stony Brook University}"
"{""name"":Macalester College}"
"{""name"":University of California, Santa Barbara}"
"{""name"":Sun Yat-Sen University}"
"{""name"":The Hong Kong University of Science and Technology}"
"{""name"":McGill University}"
"{""name"":Simon Fraser University}"
"{""name"":University of North Carolina at Chapel Hill}"
"{""name"":Princeton University}"
"{""name"":Odense University College of Engineering}"
"{""name"":Syddansk Universitet}"
"{""name"":Harvard University}"
"{""name"":École Polytechnique}"
"{""name"":University of Paris I: Panthéon-Sorbonne}"
"{""name"":University of Virginia}"
"{""name"":University College Cork}"
"{""name"":University of Illinois at Urbana-Champaign}"
"{""name"":Technion - Israel Institute of Technology}"
"{""name"":Weizmann Institute of Science}"
"{""name"":University of Arizona}"
"{""name"":Pomona College}"
"{""name"":University of Colorado at Boulder}"
"{""name"":Delft University of Technology}"
"{""name"":Lexington High School}"
"{""name"":Tel Aviv University}"
"{""name"":Orta Doğu Teknik Üniversitesi / Middle East Technical University}"
"{""name"":Swarthmore College}"
"{""name"":National Technical University of Athens}"
"{""name"":École Supérieure d'Électricité}"
"{""name"":Nankai University}"
"{""name"":Institute of Software, Chinese Academy of Sciences}"
"{""name"":Williams College}"
"{""name"":Universitat Politècnica de València (UPV)}"
"{""name"":Seoul National University}"
"{""name"":National Institute of Technology Calicut}"
"{""name"":University of Richmond}"
"{""name"":University of Oxford}"
"{""name"":Parsons School of Design - The New School}"
"{""name"":Friedrich-Alexander-Universität Erlangen-Nürnberg}"
"{""name"":Chestnut Hill College}"
"{""name"":Ben-Gurion University of the Negev}"
"{""name"":Rice University}"
"{""name"":Oberlin College}"
"{""name"":University of California, Santa Cruz}"
"{""name"":FAU Erlangen-Nürnberg}"
"{""name"":University of Tennessee, Knoxville}"
"{""name"":University of Chicago}"
"{""name"":Earlham College}"
"{""name"":National Chiao Tung University}"
"{""name"":Staffordshire University}"
"{""name"":Université de Bourgogne}"
"{""name"":Yeshiva University}"
"{""name"":Calvin College}"
"{""name"":Johns Hopkins University}"
"{""name"":Champlain Valley Union High School}"
"{""name"":University of Michigan}"
"{""name"":University of Zagreb/Sveuciliste u Zagrebu}"
"{""name"":S.U.N.Y}"
"{""name"":Indian Institute of Technology, Kharagpur}"
"{""name"":Rani Durgavati Vishwavidyalaya}"
"{""name"":Guru Ghasidas University}"
"{""name"":University of Crete}"
"{""name"":Seaholm High School}"
"{""name"":University of Ioannina}"
"{""name"":Georgetown University}"
"{""name"":Tufts University}"
"{""name"":Franklin W. Olin College of Engineering}"
"{""name"":Instituto Superior Técnico}"
"{""name"":Technical University of Crete / Πολυτεχνείο Κρήτης}"
"{""name"":The University of Chicago}"
"{""name"":Duquesne University}"
"{""name"":Bronx High School of Science}"
"{""name"":Ethnikon kai Kapodistriakon Panepistimion Athinon}"
"{""name"":University of Adelaide}"
"{""name"":Watchung Hills Regional High School}"
"{""name"":The University of Texas at San Antonio}"
"{""name"":University of Waterloo}"
"{""name"":University of Applied Sciences Upper Austria - Hagenberg Campus}"
"{""name"":Ghent University}"
"{""name"":Bursa Tan College}"
"{""name"":Bilkent Üniversitesi}"
"{""name"":The Cooper Union for the Advancement of Science and Art}"
"{""name"":University of Miami}"
"{""name"":Penn State University}"
"{""name"":Indian Institute of Technology (BHU), Varanasi}"
"{""name"":University of Pune}"
"{""name"":UC Irvine}"
"{""name"":Case Western Reserve University}"
"{""name"":Technische Universität Kaiserslautern}"
"{""name"":Victoria University of Wellington}"
"{""name"":Universidad de Deusto}"
"{""name"":California Polytechnic State University-San Luis Obispo}"
"{""name"":Saratoga High School}"
"{""name"":Hefei No. 1 High School}"
"{""name"":University of Cape Town}"
"{""name"":University of Kansas}"
"{""name"":Harvey Mudd College}"
"{""name"":University of Pennsylvania}"
"{""name"":UC San Diego}"
"{""name"":Technion}"
"{""name"":Wesleyan University}"
"{""name"":New York University}"
"{""name"":Technion IIT, Israel}"
"{""name"":Gjøvik University College}"
"{""name"":University of Amsterdam}"
"{""name"":The Hebrew University of Jerusalem}"
"{""name"":Amador Valley High School}"
"{""name"":Technische Universität Dresden / TU Dresden}"
"{""name"":Chalmers tekniska högskola / Chalmers University of Technology}"
"{""name"":Università di Catania}"
"{""name"":University of Leeds}"
"{""name"":The Australian National University}"
"{""name"":University of Ljubljana}"
"{""name"":St. Peters college agra}"
"{""name"":Brigham Young University}"
"{""name"":Bauhaus-Universität Weimar}"
"{""name"":Western University}"
"{""name"":University of Iowa}"
"{""name"":Washington University in St. Louis}"
"{""name"":University of Tehran}"
"{""name"":Ecole polytechnique fédérale de Lausanne}"
"{""name"":UNSW}"
"{""name"":City University of New York-College of Staten Island}"
"{""name"":The University of Texas at Austin}"
"{""name"":Staples High School}"
"{""name"":Ridgewood High School}"
"{""name"":Boston College}"
