last_edu,next_edu,weight
Sharif University of Technology,Sharif University of Technology,1
Portland State University,Portland State University,2
Horace H. Rackham School of Graduate Studies,Seoul National University,1
Horace H. Rackham School of Graduate Studies,Horace H. Rackham School of Graduate Studies,1
École des ponts ParisTech,École Polytechnique,1
Federal University of Minas Gerais,Federal University of Minas Gerais,2
University of Ottawa,Moscow Institute of Physics and Technology,1
Harvard Law School,Dartmouth College,1
Albert Einstein College of Medicine,Pritzker School of Medicine,1
Delft University of Technology,University of Edinburgh,1
Max Planck Institute for Informatics,University of Michigan,1
Indiana University Bloomington,Williams College,1
University of Tokyo,University of Tokyo,1
McGill University,University of Alberta,1
Cranfield University,Technical University of Madrid,1
Technical University of Košice,University of Pittsburgh,1
Air Force Institute of Technology,Massachusetts Institute of Technology,1
"University of California, Santa Cruz",University of Washington,1
