last_edu,first_work,weight
University of Illinois Urbana-Champaign,University of Virginia,1
University of Illinois Urbana-Champaign,Massachusetts Institute of Technology,2
University of Illinois Urbana-Champaign,University of Illinois College of Law,1
University of Illinois Urbana-Champaign,Stanford University,4
University of Illinois Urbana-Champaign,"University of California, San Diego",1
University of Illinois Urbana-Champaign,University of Pennsylvania,2
University of Illinois Urbana-Champaign,Carnegie Mellon University,1
University of Illinois Urbana-Champaign,"University of Maryland, College Park",1
University of Illinois Urbana-Champaign,Galvanize (software company),1
University of Illinois Urbana-Champaign,University of Illinois Chicago,1
University of Illinois Urbana-Champaign,Georgia Tech,1
University of Illinois Urbana-Champaign,University of Michigan,1
University of Illinois Urbana-Champaign,Johns Hopkins University,1
University of Illinois Urbana-Champaign,Stony Brook University,1
University of Illinois Urbana-Champaign,University of Texas at Austin,1
University of Illinois Urbana-Champaign,University of Washington,1
Washington University in St. Louis,Texas A&M University,1
Washington University in St. Louis,University of Pennsylvania,1
Singapore Management University,Princeton University,1
Northeastern University,Rice University,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,34
Massachusetts Institute of Technology,University of Southern California,1
Massachusetts Institute of Technology,Cornell University,1
Massachusetts Institute of Technology,Stanford University,10
Massachusetts Institute of Technology,"University of California, Berkeley",12
Massachusetts Institute of Technology,University of Michigan,2
Massachusetts Institute of Technology,Imperial College London,1
Massachusetts Institute of Technology,Harvard University,3
Massachusetts Institute of Technology,University of Illinois Urbana-Champaign,3
Massachusetts Institute of Technology,Carnegie Mellon University,1
Massachusetts Institute of Technology,University of Waterloo,1
Massachusetts Institute of Technology,Princeton University,1
Massachusetts Institute of Technology,California Institute of Technology,1
Massachusetts Institute of Technology,Harvard Medical School,1
Massachusetts Institute of Technology,Harvard–MIT Program in Health Sciences and Technology,1
Massachusetts Institute of Technology,Purdue University,1
Massachusetts Institute of Technology,Dartmouth College,1
Massachusetts Institute of Technology,École Polytechnique Fédérale de Lausanne,1
Massachusetts Institute of Technology,Air Force Institute of Technology,1
Indiana University Bloomington,Yale University,1
Coastal Carolina University,Summer school,1
University of Southern California,Stanford University,1
University of Southern California,Carnegie Mellon University,1
University of Southern California,Cornell University,1
University of Southern California,Grenoble Institute of Technology,1
Harvard University,Polytechnic University of Milan,1
Harvard University,Carnegie Mellon University,1
Harvard University,Princeton University,1
Harvard University,Harvard University,2
Harvard University,"University of California, Berkeley",2
Harvard University,University of Washington,1
Harvard University,Georgia Tech,1
Santa Clara University,Georgia Tech,1
University of Chicago,Yale University,1
University of Chicago,University of Wisconsin–Madison,1
University of Chicago,Victoria University of Wellington,1
University of Chicago,University of Chicago,2
University of Chicago,University of Utah,1
University of Chicago,Princeton University,2
University of Chicago,Massachusetts Institute of Technology,1
University of Chicago,Cornell University,1
University of Chicago,University of Illinois Urbana-Champaign,1
Yale University,Stanford University,3
Yale University,University of Texas at Austin,1
Yale University,Stony Brook University,1
Yale University,Massachusetts Institute of Technology,1
Brown University,Brown University,6
Brown University,Massachusetts Institute of Technology,6
Brown University,University of Colorado Boulder,1
Brown University,"University of Maryland, College Park",1
Brown University,Rice University,1
Brown University,Cornell University,1
Brown University,University of Southern California,1
Brown University,Yale University,1
Brown University,University of Illinois Urbana-Champaign,1
Brown University,"University of California, Berkeley",1
Brown University,"University of California, San Diego",1
Brown University,New York University,1
Brown University,Hebrew University of Jerusalem,1
Wright State University,University of Washington,1
Boston University,"University of Maryland, College Park",1
Boston University,University of Michigan,1
University of Science and Technology of China,Northwestern University,1
University of the Amazon,Vrije Universiteit Amsterdam,1
University of the Amazon,Horace H. Rackham School of Graduate Studies,1
University of Southern Denmark,Harvard University,1
Dartmouth College,Massachusetts Institute of Technology,1
Dartmouth College,Cornell University,2
Dartmouth College,City University of New York,1
Dartmouth College,Dartmouth College,2
Dartmouth College,Princeton University,1
Dartmouth College,Duke University,1
Dartmouth College,Carnegie Mellon University,1
Dartmouth College,Indian Institute of Science,1
University of Washington,University of Washington,6
University of Washington,Massachusetts Institute of Technology,4
University of Washington,University of Texas at Austin,1
University of Washington,Carnegie Mellon University,4
University of Washington,University of Iowa,1
University of Washington,"University of California, Davis",1
University of Washington,Princeton University,1
University of Washington,"University of California, San Diego",1
University of Washington,University of Rochester,1
University of Washington,Harvard Medical School,1
University of Washington,Stanford University,1
University of Pennsylvania,Toyota Technological Institute at Chicago,1
University of Pennsylvania,University of Pennsylvania,8
University of Pennsylvania,Columbia University,2
University of Pennsylvania,"University of California, Los Angeles",1
University of Pennsylvania,University of Washington,3
University of Pennsylvania,University of Wisconsin–Madison,3
University of Pennsylvania,Cornell University,1
University of Pennsylvania,Harvard University,2
University of Pennsylvania,Karlsruhe Institute of Technology,1
University of Pennsylvania,Stanford University,2
University of Pennsylvania,Carnegie Mellon University,1
University of Pennsylvania,Wharton School of the University of Pennsylvania,1
University of Pennsylvania,Saarland University,1
University of Pennsylvania,Johns Hopkins University,1
University of Pennsylvania,Czech Technical University in Prague,1
University of Pennsylvania,Stevens Institute of Technology,1
University of Pennsylvania,"University of California, Santa Barbara",1
University of Pennsylvania,Ohio State University,1
University of Pennsylvania,Stony Brook University,1
University of Pennsylvania,Massachusetts Institute of Technology,1
University of Pennsylvania,Princeton University,1
Georgia Tech,Georgia Tech,5
Georgia Tech,University of Wisconsin–Madison,1
Georgia Tech,Massachusetts Institute of Technology,2
Georgia Tech,Stanford University,1
Georgia Tech,Ohio State University,1
Georgia Tech,IIT Bombay,1
Reichman University,Massachusetts Institute of Technology,1
Johns Hopkins University,Arizona State University,1
Johns Hopkins University,Johns Hopkins University,4
Johns Hopkins University,"University of California, Los Angeles",1
Johns Hopkins University,University of Washington,1
Johns Hopkins University,Hebrew University of Jerusalem,1
Johns Hopkins University,"University of California, San Diego",1
Johns Hopkins University,University of Pennsylvania,1
Johns Hopkins University,University of Rochester,1
Johns Hopkins University,University of Michigan,1
Johns Hopkins University,University of Edinburgh,1
Simon Fraser University,Simon Fraser University,1
Zhejiang University of Technology,Johns Hopkins University,1
University of Michigan,Columbia University,1
University of Michigan,University of Texas at Austin,1
University of Michigan,University of Michigan,3
California Institute of Technology,Massachusetts Institute of Technology,3
California Institute of Technology,California Institute of Technology,2
California Institute of Technology,ETH Zurich,1
California Institute of Technology,University of Oxford,1
California Institute of Technology,Harvard University,1
California Institute of Technology,Princeton University,1
California Institute of Technology,"University of California, Berkeley",2
California Institute of Technology,University of Texas at Austin,1
California Institute of Technology,Cornell University,1
Stony Brook University,Carnegie Mellon University,1
University of Toronto,University of Toronto,1
University of Toronto,Massachusetts Institute of Technology,2
University of Toronto,Hebrew University of Jerusalem,1
Olin College,Carnegie Mellon University,1
Soka University of America,Stanford University,1
University of Pittsburgh,University of Massachusetts Amherst,1
Flinders University,Flinders University,1
Middle East Technical University,Georgia Tech,2
University of Utah,École Polytechnique Fédérale de Lausanne,1
Johannes Kepler University Linz,Delft University of Technology,1
Arcadia University,American University,1
University of Edinburgh,Cornell University,1
University of Edinburgh,Massachusetts Institute of Technology,1
University of Edinburgh,Vanderbilt University,1
University of Notre Dame,University of Notre Dame,1
Brescia University,Technical University of Kaiserslautern,1
University of Deusto,University of Chicago,1
Purdue University,Cornell University,1
Purdue University,Purdue University,2
Purdue University,Ohio State University,1
Ruhr University Bochum,Georgia Tech,1
Duke University,Rice University,1
Duke University,Duke University,5
Duke University,Stanford University,2
Duke University,University of Virginia,1
Duke University,Carnegie Mellon University,1
Duke University,University of Wisconsin–Madison,2
Duke University,University of Oxford,1
Duke University,Massachusetts Institute of Technology,1
Duke University,University of Pennsylvania,1
Duke University,University of Illinois Urbana-Champaign,2
Duke University,Northwestern University,1
Duke University,Brown University,1
"University of California, Santa Barbara","University of California, Santa Barbara",2
"University of California, Irvine",Johns Hopkins University,1
"University of California, Irvine",Cornell University,1
Private university,"University of California, Berkeley",1
University of Oxford,"University of California, Berkeley",1
University of Oxford,University of Oxford,1
Denison University,University of Illinois Urbana-Champaign,1
Tufts University,Carnegie Mellon University,1
Tufts University,University of Cambridge,1
Technion – Israel Institute of Technology,Stanford University,1
Hebrew University of Jerusalem,Stanford University,1
Leipzig University,Massachusetts Institute of Technology,1
Syracuse University,Harvard University,1
SRM Institute of Science and Technology,Massachusetts Institute of Technology,2
KTH Royal Institute of Technology,KTH Royal Institute of Technology,1
Troy University,Rockefeller University,1
New York University,Stanford University,1
New York University,Purdue University,1
New York University,Massachusetts Institute of Technology,1
New York University,Hebrew University of Jerusalem,1
New York University,Brown University,1
Wellesley College,Harvard University,1
University of British Columbia,University of British Columbia,1
Palo Alto University,Massachusetts Institute of Technology,1
Palo Alto University,"University of California, Berkeley",1
George Washington University,George Washington University,1
George Washington University,Harvard Law School,1
Vanderbilt University,Northwestern University Pritzker School of Law,1
Vanderbilt University,Georgia Tech,1
Vanderbilt University,Vanderbilt University,9
Vanderbilt University,University of Pennsylvania,1
Vanderbilt University,University of Tennessee,1
Vanderbilt University,National Technical University of Athens,1
Vanderbilt University,North Carolina State University,1
Vanderbilt University,Brown University,1
Vanderbilt University,University of Alberta,1
Vanderbilt University,University of Florida,1
Vanderbilt University,Virginia Tech,1
Vanderbilt University,Ohio State University,1
Vanderbilt University,"University of California, Irvine",1
National University of Singapore,ETH Zurich,1
National University of Singapore,Nanyang Technological University,1
Drexel University,University of Pennsylvania,1
Rice University,Massachusetts Institute of Technology,1
Rice University,Rice University,2
Rice University,University of Wisconsin–Madison,1
Virginia Tech,Duke University,1
IIT Delhi,University of Pennsylvania,1
Washburn University,University of Colorado Boulder,1
Worcester Polytechnic Institute,Columbia University,1
Worcester Polytechnic Institute,Indiana University Bloomington,1
University of Massachusetts Amherst,University of Massachusetts Amherst,2
Howard University,North Carolina State University,1
"University of California, Santa Cruz","University of California, Santa Cruz",1
University of Oregon,University of Washington,1
Technical University of Madrid,University of Pennsylvania,1
University,Stanford University,1
Missouri University of Science and Technology,Massachusetts Institute of Technology,1
Kyushu University,ETH Zurich,1
